aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
5.34927,-5.922103,-9.760413,5.796399,-6.566832,-10.13811,-1.436209,-8.216483,5.971141,9.547189,-9.239069,-8.714314,-10.22837,-8.253719,-15.91547,-35.60801,7.85854,3.214084,-4.439296,10.23557,-4.809372,-0.7850441,11.92395,0.08542535,6.951188,10.73581,5.311121,-0.192246,-2.053313,-7.885601,1.377683,-34.50867,-9.00938800000586
9.052839,-6.172251,-6.813376,5.763357,-6.177479,-10.88967,-2.855707,-5.23329,3.40621,5.936181,-6.526079,-10.48793,-16.90182,-5.647872,-14.0124,-31.34656,8.421838,-1.706853,-2.032716,4.621808,-4.84847,-3.758114,6.565087,1.670061,3.660143,0.4533483,6.132968,-3.813763,-6.303687,-9.144779,2.20676,-21.27772,-7.526388000005859
8.753418,-1.763164,4.316154,6.810352,-1.649903,-7.848905,-5.440004,0.3175966,-3.063558,2.243336,-1.696389,-9.004262,-16.08598,-2.219648,-4.604373,-14.78333,9.42262,-4.180551,5.465195,-2.433133,-1.609573,-4.531942,-1.141065,2.481827,-2.773,-5.685938,6.77134,-3.250227,-8.525645,-7.813483,1.278768,-2.393817,-6.0433880000058595
8.846471,4.202527,12.92817,4.632629,5.20859,-1.980011,-4.361135,4.120056,-4.151811,4.654651,-0.934799,-8.864881,-7.268875,-0.8005875,8.34124,4.191575,9.271698,-1.895817,6.64163,-6.249536,-2.039819,-2.281289,-3.844501,1.88227,-4.544431,-7.420733,8.746539,2.155816,-4.11227,-3.280359,-1.458277,11.09107,-4.56038800000586
9.397353,7.110887,12.46062,0.1007909,8.723379,4.243126,3.053061,5.827014,-1.065803,7.245525,-2.174842,-7.374395,1.749187,1.048563,17.16227,19.89556,0.7346533,-1.560524,1.556011,-9.433347,-5.720373,1.027302,-0.8893456,0.7522509,-0.6291159,-7.922087,6.235306,5.293455,1.315033,1.452972,-0.5324749,21.88794,-3.0773880000058593
5.313371,6.011415,5.587504,-0.03643728,11.44095,6.42113,9.785721,9.035061,-1.817043,1.332969,-0.5846088,1.458621,6.426694,5.549928,16.18352,26.89091,-10.10519,-5.363937,-2.313982,-10.31705,-5.37302,0.3984436,1.095417,-1.487375,1.499886,-3.493038,-1.89775,4.704235,0.5076055,4.440632,0.7791239,23.96835,-1.5943880000058588
-2.468818,2.280419,-3.752911,-1.419578,12.8275,2.633999,10.41011,10.26477,-3.363939,-9.271302,2.196227,12.23011,9.498245,9.222887,8.933694,24.00304,-14.27113,-7.799386,-5.244644,-6.123517,-3.785377,-2.792976,-1.55185,-3.534978,-1.346278,-1.58009,-3.795482,0.3574425,-2.200968,7.192194,-5.174095,11.19731,-0.11138800000586002
-10.23775,-1.709787,-11.28697,-5.334476,9.411918,-1.211665,5.596446,5.673555,1.177851,-15.6811,1.293551,19.64328,10.37551,9.619307,1.817458,15.90435,-16.00308,-8.07051,-7.800524,-2.326125,-5.767316,-2.280422,-6.404793,-4.556112,-4.075131,-2.462598,0.8173889,-5.350497,-2.828932,6.296249,-16.24306,-9.430772,1.3716119999941405
-10.09068,-2.393171,-13.07132,-3.257748,3.959092,0.72254,1.132728,-0.1919267,6.945334,-13.32277,-2.864601,21.85412,6.232207,7.583365,0.1121143,9.98039,-14.82661,-8.350071,-5.645467,-3.853212,-8.402422,-0.3526104,-10.1265,-6.127669,-3.14914,1.696167,4.834285,-8.99477,-2.036548,-0.9071512,-22.26932,-24.63967,2.854611999994141
-4.238013,-0.7561095,-11.02206,-1.541273,0.06747178,3.439906,-0.1750579,-3.963121,7.843681,-6.245333,-5.301852,17.64642,0.4264044,5.296804,1.997782,4.343458,-9.931587,-9.607515,-1.570566,-9.363735,-8.577341,-1.239667,-10.08819,-9.482069,-5.250056,4.703451,4.212921,-12.12447,-2.448288,-5.78953,-20.61698,-29.74189,4.337611999994142
