aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-8.825319,-7.123191,18.20171,3.134733,-5.178428,2.286593,-14.17596,-7.649217,-31.77245,-20.81256,1.77486,-11.17866,-8.085189,-4.988205,-17.52035,-7.688295,-2.88509,-18.78773,2.251213,-12.85069,-3.596964,-6.570258,-9.138362,-0.558531,-25.46696,-12.99845,9.734582,2.143282,-9.189671,-5.94812,-6.717703,-26.42338,-11.4168475996703
-7.364598,-3.018543,8.043784,0.302661,-6.62726,5.585251,-12.13703,-1.767834,-20.7374,-16.67051,3.672169,-14.62389,-3.18694,3.146481,-13.09633,-4.484753,-1.699065,-14.55317,2.706364,-5.335228,-4.933789,-0.8165832,-6.782255,-0.0131763,-16.43038,-16.8405,15.0442,5.83298,-0.5274456,-1.099778,-11.1183,-20.16179,-9.9338475996703
-1.452914,-0.8956115,-7.265516,-4.202897,-8.119298,3.377599,0.4193459,3.289734,-0.3385988,-4.886428,3.437017,-6.876692,2.966193,10.01024,-3.468238,-2.788067,-1.620033,-6.157403,-3.157625,-1.136626,-6.381877,3.494201,-1.884522,-4.04992,-2.35073,-12.5759,12.16306,2.824171,10.01368,3.475667,-9.764741,-3.93005,-8.4508475996703
4.721126,0.5414679,-13.79634,-4.400219,-6.406156,-1.438307,9.741764,1.811803,10.05966,1.263902,0.5240611,8.837182,-0.1728275,6.834273,0.253806,-6.354575,-2.558617,-0.3723216,-10.68075,-3.88908,-10.16934,2.648609,0.5921033,-7.174097,2.433601,-4.563199,-7.904799,-7.152727,9.672535,0.4455043,-8.479859,1.757278,-6.9678475996703
10.75098,9.761673,-18.34345,4.254114,-1.710621,-2.290048,9.220559,1.553181,8.747385,-4.722893,-5.260994,15.31146,-6.713281,0.5984131,-5.699214,-11.89815,3.619896,7.512624,-8.479084,1.632082,-10.98099,4.192664,1.133885,-5.49075,-1.772738,-5.568727,-34.77199,-10.08518,1.993304,-1.123583,-10.26516,-5.523546,-5.4848475996702994
14.78401,20.26846,-28.70242,10.63233,1.224531,-2.714742,6.952198,3.015047,7.936758,-9.039872,-9.303972,11.09016,-12.15734,-2.418033,-15.55029,-19.63846,9.576366,17.12294,0.958374,6.150051,-4.800751,6.400753,0.0730127,-1.896387,-6.847995,-10.10525,-42.55826,-7.927931,-6.512139,2.359023,-9.723428,-13.35839,-4.001847599670299
15.58501,21.5636,-32.97371,11.73356,1.912659,-2.782752,6.003355,2.538773,13.88085,-3.184626,-7.068223,3.475899,-16.5916,-3.731441,-19.00882,-20.28551,6.705073,22.7822,5.033138,8.854468,1.769579,3.979705,-2.334231,2.046344,-0.1025025,-6.38315,-28.10313,-9.926999,-15.09715,3.857263,-6.169615,-16.36205,-2.5188475996703
13.12374,16.12015,-28.47031,8.342656,2.437584,-2.072103,4.665216,5.170395,18.57674,5.692623,-5.695771,-1.414632,-17.3079,-4.402971,-12.48055,-10.41466,0.3162013,24.01183,0.7007809,9.8422,4.499361,0.7201986,-3.233703,3.832137,12.35529,-0.9157105,-13.01907,-12.57316,-20.56504,2.376841,-1.238816,-19.22464,-1.0358475996702996
9.618879,11.80969,-17.898,-1.531187,3.775165,-3.295681,2.614784,8.488785,19.36453,8.555183,-5.749232,3.38853,-14.55983,-1.209471,-0.05452332,-1.346493,-2.316114,23.32871,-4.163469,-2.192022,3.518865,-0.6776801,-0.850957,2.620984,16.10308,0.1002339,-5.2341,-13.01456,-18.1878,0.8705676,5.813284,-19.14833,0.44715240032970094
7.255345,7.392427,-3.456768,-9.704117,4.680949,-3.418275,-0.4785547,6.565802,17.74316,7.067115,-1.571578,11.25003,-8.54216,2.795803,14.0524,7.512493,0.2933646,19.19404,-3.781944,-14.04978,1.117578,-2.524689,2.910273,2.253974,12.72886,0.9408807,-0.2541338,-10.49231,-11.01056,1.688648,14.624,-8.437826,1.9301524003297015
2.992858,-0.974434,1.582426,-9.75564,5.27233,-1.407878,-2.891241,1.887264,12.098,8.087955,4.859469,10.99832,-0.7036013,1.660924,24.41216,18.71679,2.670356,10.45689,-0.9297374,-14.15115,0.8263263,-4.027814,8.470561,3.585869,8.463979,6.066915,5.665073,-2.384206,-4.289549,4.145398,18.49815,9.672323,3.413152400329702
-2.505489,-10.26755,7.235327,-5.875931,7.852865,2.07911,-3.224707,-3.699987,-0.08799442,7.710564,7.872505,2.371287,7.012307,-2.175568,28.20559,25.91954,3.005264,0.7432751,1.190687,-5.551346,4.587077,-2.76199,12.37292,4.547648,4.131547,12.10214,10.57057,4.433411,3.657919,5.352586,17.4439,29.57335,4.896152400329703
-6.937894,-16.12671,23.2745,-6.286343,9.652724,5.834007,-2.279559,-8.329032,-9.749178,7.149308,6.787047,-8.363898,15.03718,-4.411821,28.44854,30.50964,3.002312,-6.850728,0.1329131,1.26344,9.5802,-1.130939,11.01733,3.993084,4.217169,15.47147,11.59247,6.347749,12.8696,3.507052,20.69515,46.00432,6.3791524003296995
-6.944186,-15.9047,30.35218,-10.52645,8.454495,6.207459,-1.067952,-9.495342,-13.08689,9.144095,2.521384,-15.14946,21.08315,-2.761972,25.31465,31.96118,2.755927,-9.363253,0.3003593,4.144262,9.783705,-1.031953,7.632475,-1.319533,4.603966,14.90362,10.01595,7.407267,20.60949,1.117238,25.53507,49.74295,7.8621524003297
-5.798335,-11.26416,23.7751,-13.21533,5.46854,3.650375,0.3228303,-10.62555,-12.65845,8.858961,-2.974287,-17.02497,21.93025,-0.07607572,21.4666,28.5071,0.7304927,-4.528868,0.9562681,6.73169,5.650729,-2.177324,4.434275,-7.214794,2.256509,16.30558,7.614907,5.443097,23.22437,0.5974388,22.15799,41.96652,9.3451524003297
-8.195433,-6.55223,13.29843,-12.14435,0.6797513,3.783755,0.1212613,-10.7526,-13.71569,3.796898,-6.038973,-15.88572,15.81435,-0.7494467,13.20974,15.69072,-2.815126,0.9225494,-0.4357743,4.386104,2.658392,-4.053854,0.5523004,-5.874506,-1.137783,15.34399,1.793334,0.1497073,16.9941,-0.5077637,8.886186,25.8289,10.828152400329701
-8.587539,-0.7094403,1.198979,-5.939756,-6.583637,4.839507,-2.467857,-4.591897,-17.22653,-1.867321,-2.570727,-10.64483,3.126679,-2.414176,-4.882325,-4.108727,-2.168526,0.8663857,2.831847,-1.655214,0.769288,-4.425701,-2.160483,-0.9313469,-8.084091,1.729808,-3.384636,-4.598457,2.935297,-4.195935,-10.03483,3.496167,12.311152400329702
-3.865199,5.329933,-7.504129,2.224379,-9.280376,3.344175,-4.383695,3.506256,-15.22027,-5.461176,2.708888,-4.848207,-4.32243,-1.796426,-20.20539,-20.16987,2.942232,0.790678,10.4312,-3.248245,0.7643008,-1.518761,-3.07234,1.981612,-12.92994,-12.83231,-2.341462,-9.770352,-8.752437,-5.313973,-21.62743,-14.64783,13.794152400329702
-5.099213,4.544057,-10.376,3.695729,-4.269872,1.700067,-2.1827,6.405729,-3.277066,-3.602904,3.845238,-5.288341,-1.785835,-1.882689,-19.5382,-27.68752,0.2571541,1.702693,12.94494,-3.644911,3.416372,2.043524,-4.522071,5.811676,-11.63939,-11.0695,4.708604,-5.869762,-10.02171,-3.661834,-19.57985,-19.84681,15.277152400329703
