aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
6.368065,5.488264,0.7155146,11.51073,-3.119545,-0.0356768,-5.537568,-12.74044,-4.082965,-10.76496,-9.262623,4.710688,-3.272772,-5.277537,-0.6677655,-2.341134,8.384355,8.585133,-1.135939,13.09905,-6.51243,-4.82627,-5.355632,-2.671716,1.541508,-2.398135,-6.632226,8.39434,-5.98365,-1.735337,1.865538,-11.732,-9.31529810000211
3.075822,7.706174,3.47362,5.039824,2.684992,1.626375,-2.043571,-8.818492,1.936088,-4.90259,-8.898626,2.019924,-3.498077,-7.518633,9.38383,3.839123,5.460791,5.387485,-0.6964718,10.67855,-7.511899,-3.963615,-1.402938,0.4643233,5.000305,4.375744,-8.729067,12.20854,-0.7889225,2.096748,4.67425,-6.253739,-7.8322981000021095
-1.053668,5.388476,-1.564856,-2.760209,4.949742,0.9417001,-1.542863,-4.983737,8.65025,7.365478,-5.445384,1.673986,0.1255054,-6.467315,12.68762,-1.617744,-1.314586,1.883218,-0.2634963,6.793628,-6.629362,0.6162525,1.320659,0.7684748,6.934942,9.997915,-6.880282,12.79518,5.125125,8.277587,6.29276,-0.7635222,-6.34929810000211
-1.653255,2.392547,-10.55664,-8.017107,-1.871827,2.640754,-3.429795,-2.984393,7.411988,18.537,-6.387474,3.979003,2.016508,-4.47452,10.60539,-14.15425,-6.706889,0.4009807,-2.426011,0.149183,-3.770306,-0.001403376,-3.52884,-2.217603,5.852546,13.30683,3.323967,8.769772,3.996258,9.935992,2.875398,2.27833,-4.86629810000211
0.1253014,-0.3282851,-14.35867,-12.35634,-8.916945,8.366756,-0.8186558,-0.4689791,4.232261,22.24316,-5.827677,6.283084,1.308362,-3.69939,10.90836,-19.78408,-7.634204,0.5818852,-2.193947,-3.010168,0.04548947,-6.952236,-6.354745,-6.616518,4.552092,17.31827,13.89131,2.296072,-0.4450588,6.962153,-1.537061,4.336129,-3.3832981000021096
-1.681956,-3.195006,-8.823243,-14.30737,-11.17763,6.671712,4.168462,0.9095696,5.41735,18.72946,1.384474,8.730297,0.07970739,-3.374296,9.971376,-16.72242,-5.776606,1.82891,-2.667,-4.715533,1.13312,-8.950532,-1.611257,-8.873363,6.587637,16.86185,15.73422,-0.1495563,-1.986989,4.459814,-1.864395,10.19979,-1.900298100002109
-4.595218,0.5150458,0.6257621,-16.30518,-9.9702,0.3676953,11.0901,4.064566,7.826969,13.82249,6.953301,11.6193,-2.017985,-2.441953,4.185161,-4.595373,-1.925,0.5024254,-5.516476,-12.01973,-0.9035382,-3.601917,5.10583,-5.536308,7.631569,8.713471,13.93523,-2.369936,-2.590681,3.224698,-3.584929,15.42108,-0.4172981000021103
-4.23008,6.138025,8.538257,-20.02603,-9.100365,-7.243529,15.15326,7.471072,11.63804,9.792533,10.8395,9.608672,0.6235327,-1.530089,-2.539408,7.8442,-0.2620935,-4.081672,-6.999804,-18.85343,0.8200973,-2.105081,9.900421,-1.051035,8.51037,1.283923,6.768222,-6.132748,-1.602638,1.692069,-2.099623,17.4178,1.0657018999978902
-3.313796,6.813396,12.84672,-16.95419,-7.602182,-11.31097,13.96073,7.847352,14.5839,7.738611,15.20037,6.574893,4.00815,-2.08864,-6.326495,14.49248,-2.183393,-7.314286,-2.255088,-11.4245,5.883761,-8.44676,11.66908,-0.01537639,5.041521,-1.960207,-1.005556,-6.233905,-1.569465,-1.364089,1.879459,16.66146,2.5487018999978908
-2.518144,3.960095,11.08576,-4.773588,-0.981089,-8.093061,9.315707,5.928541,13.42856,9.275604,9.575526,5.452485,3.999967,0.6628398,-6.29649,19.17376,-1.654764,-3.957828,3.639019,4.101737,8.215968,-12.28361,7.583277,-1.14425,-6.08754,-2.867195,0.001081009,-3.96377,-1.619044,-2.568799,1.129299,8.366371,4.031701899997891
