aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
6.80829,0.6743582,6.263035,17.49325,1.159914,-1.351261,7.066849,-5.279151,-5.024693,13.86918,2.080857,0.6752095,-7.288932,-7.52274,-9.478706,-10.16123,8.062286,-2.125393,-1.487771,14.1597,3.372511,6.103768,-1.021871,-0.1578713,1.675565,17.47468,1.782616,2.44451,-2.820043,-5.318225,1.385418,-10.68427,-9.33409360004589
9.235781,4.488008,3.893122,7.823881,2.436152,1.472643,8.312214,-3.525497,-0.5031064,7.132303,-1.859946,-1.373395,-5.254212,1.994644,-3.111589,0.2655829,2.926277,-0.3278983,-0.2921502,2.540802,5.221779,7.239328,0.89728,3.105077,6.624139,12.89792,-5.818171,-5.436155,0.4713255,-2.618391,8.184328,-3.210346,-7.851093600045889
7.944847,2.567823,0.3235048,-0.8033016,1.684523,2.478374,2.18524,-0.8153019,2.966719,-3.754359,2.083285,-1.975037,-3.664757,8.114953,0.7306395,4.161185,-1.276844,-0.1140931,2.358709,-7.592645,4.822752,5.538729,-1.051608,2.69688,5.451712,-0.2496444,-8.476305,-12.42506,0.7285284,0.2352438,5.340381,2.326865,-6.368093600045889
-1.81391,-3.678355,-2.78344,-2.597085,-1.317472,1.173424,-6.419359,2.699242,1.323952,-6.953839,4.968038,-2.607238,-2.785426,3.854486,-1.495446,-1.678047,-6.327892,-2.129345,4.24042,-10.26018,-0.08426919,-0.3292265,-5.215352,-2.968762,-1.475398,-12.4049,-1.415485,-10.78571,-3.946671,1.563337,-8.061346,-3.445491,-4.88509360004589
-11.73501,-6.310876,-5.886707,-3.899277,-4.388715,-1.100812,-9.467644,8.65485,-1.690969,-1.169846,-1.675025,0.5788719,2.696377,-0.1544965,-3.240369,-2.100258,-12.69533,-2.946041,6.067548,-12.66721,-8.751112,-9.433938,-6.770841,-9.587437,-8.019615,-14.95946,4.774969,-3.027305,-6.017716,2.105336,-16.1637,-12.98651,-3.4020936000458892
-18.20345,-6.312712,-8.515565,-10.52814,-6.277465,-2.969815,-5.812966,8.76635,-1.139411,5.318015,-7.164596,10.75191,5.510105,0.6051149,-2.51066,4.646044,-14.27165,-2.778091,5.752336,-11.64446,-13.994,-10.84837,-2.690385,-8.565972,-12.5881,-3.005089,4.462027,11.20132,-2.036319,4.740875,-11.62798,-11.84139,-1.9190936000458887
-17.15057,-1.832902,-7.508457,-15.8555,-4.527787,-3.042897,-0.2492346,-0.7318283,4.124184,6.162571,-1.550268,16.74413,1.948649,0.4825925,0.8576076,10.03888,-10.14607,-2.402625,5.710969,-5.188428,-10.1562,-5.152386,3.873643,-1.55192,-10.08868,11.07507,0.2155194,21.39204,3.048914,7.086473,-1.405284,0.7023605,-0.43609360004588993
-2.716222,6.318823,-1.424778,-9.391045,0.7644906,-2.066961,4.959834,-8.202176,7.940054,5.013941,6.718468,10.91216,1.137018,-2.302035,8.311632,10.29508,-2.153004,1.645062,3.45641,-0.5288209,-1.280449,-2.232552,8.283066,2.416725,1.565006,14.55098,1.230892,13.19147,5.809851,4.531233,8.909067,13.61061,1.0469063999541106
8.399618,6.960615,1.600959,1.055625,2.277538,-0.7365148,8.539771,-6.131169,4.281185,2.898113,5.419195,-1.39334,2.472211,-3.283817,12.9122,5.399169,7.768536,6.936385,-10.44442,6.952699,5.847324,0.6272955,10.11995,4.613035,8.548555,8.087118,9.903105,-1.576635,4.521642,1.905533,13.00262,15.35134,2.529906399954111
7.818526,2.308306,-3.550878,5.500889,0.6861448,3.194013,9.654741,-0.3541473,-5.1109,-1.173401,-4.959859,-13.53243,1.149404,0.1477595,6.472933,3.47012,16.6502,8.782934,-27.36356,14.78143,7.971907,4.040855,9.0601,7.918107,7.616661,-1.435462,12.83452,-6.803366,1.271197,-0.5890726,7.173619,6.993333,4.012906399954112
