aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
7.0092,-1.803515,-5.311337,9.155789,-5.852059,-10.29661,-1.362228,2.453364,-1.713178,-1.398082,-15.58093,14.3996,5.460813,-9.863024,-8.192461,-2.975813,20.54762,4.735855,10.69743,3.80252,-7.024894,-9.067174,6.783514,-2.154072,-9.094735,2.963152,7.421475,-14.45452,-5.307457,-8.0644,-4.538057,-3.844941,-9.70267060003243
9.148064,-0.5434421,-6.259049,0.5480338,-8.763382,-13.55181,-3.880106,2.107552,-7.139975,-2.540928,-14.55925,15.14924,0.2320017,-9.733196,-10.36006,1.584765,22.3576,4.15981,7.493432,-2.007265,-14.41572,-9.928045,5.410978,-1.468337,-12.53357,-1.753165,11.98814,-0.9371102,-11.32931,-7.621434,-10.62322,-6.940918,-8.21967060003243
6.238673,3.912102,-7.889358,-10.6968,-9.523816,-14.13929,-3.72123,0.8331223,-8.426004,-4.527485,-8.758299,10.40612,-7.768792,-8.258366,-10.73297,6.171583,15.63571,3.309463,1.961351,-13.91606,-15.32726,-9.202281,5.376879,-0.5145757,-9.416515,-6.593645,13.04468,14.67904,-16.92351,-8.978507,-13.19741,-7.618154,-6.73667060003243
0.3461767,8.936989,-11.07194,-21.28693,-11.57766,-12.79735,-1.123651,-1.067199,-9.462037,-6.594668,-5.515094,4.92708,-12.82272,-7.775023,-13.07402,7.390293,3.754567,4.318273,-3.649668,-28.2666,-11.56055,-7.988878,6.192834,1.328902,-1.972508,-8.336622,11.96817,18.59104,-16.26193,-10.15059,-12.18154,-4.055733,-5.2536706000324305
-4.632971,12.67608,-13.93029,-23.8599,-15.73301,-12.38808,1.583312,-2.615406,-9.371966,-11.38639,-5.016819,-1.673538,-13.8269,-7.463967,-13.9707,4.418032,-5.814262,3.900889,-8.227216,-31.73329,-10.6336,-7.099322,3.181776,3.634142,2.200048,-8.786537,6.042936,12.76133,-9.88269,-7.621131,-10.43872,-1.138875,-3.77067060003243
-6.455555,13.182,-13.74761,-14.80121,-20.05333,-11.29458,4.043407,-3.765636,-4.404478,-21.83196,-2.497543,-9.981963,-12.93959,-5.987292,-14.90839,0.1079739,-9.837776,4.404275,-13.83148,-25.29959,-13.8117,-5.783671,-0.5348314,3.294746,4.133801,-12.7077,-6.430691,3.811239,-4.740572,-2.091966,-6.21604,-1.762086,-2.2876706000324294
-3.710514,7.947255,-11.18718,-3.451724,-20.18991,-5.727453,5.147935,-3.598424,1.686706,-26.74659,3.244416,-17.19643,-7.106537,0.3753031,-13.77613,-5.036027,-8.893237,7.866148,-20.65024,-17.17638,-16.08695,-4.701208,-0.5169293,-0.9791375,5.834747,-16.30367,-15.26138,0.02621831,0.1350309,6.072864,2.219635,1.7026,-0.8046706000324306
0.479612,-1.455247,-4.939073,5.661416,-12.10399,1.186776,4.093845,-0.9543167,6.574937,-20.64293,8.789453,-19.77866,1.551228,6.649402,-6.619746,-10.61839,-6.344619,8.631255,-20.97413,-5.503142,-13.52377,-3.824565,0.7312699,-5.469252,4.131055,-12.28711,-14.74489,3.235041,4.939117,10.08645,8.235318,8.582386,0.6783293999675699
2.412595,-8.589537,0.7617275,10.6806,0.03556125,4.506527,2.245673,3.944654,11.14425,-9.460312,10.97195,-18.61924,5.049264,4.110891,2.003263,-13.0485,-6.752048,8.748602,-16.46186,3.621942,-6.172685,0.1436508,0.5346637,-7.525958,0.3583734,-6.669981,-11.31379,6.580974,3.884637,4.585932,6.41384,9.489075,2.1613293999675705
4.100704,-8.097454,3.344032,9.985934,5.1027,1.390051,-0.4826204,8.318297,11.38928,3.88761,7.436092,-14.02578,1.537107,-4.356396,7.526363,-14.92065,-7.807753,11.33668,-14.21745,7.248088,0.1609497,6.254089,-0.7705835,-9.101059,-1.299824,-4.782744,-11.09297,2.512374,-2.272367,-5.057437,2.422101,4.597261,3.644329399967571
