aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
5.758221,0.3091362,7.9077,-7.347073,-11.95643,15.83566,-21.13325,-17.10656,-6.770364,-9.12918,-29.13646,-17.78201,-31.37163,-27.36719,5.753913,-27.40426,11.41681,16.7464,2.593553,5.125227,-15.71602,-14.1717,-22.42434,-14.4779,-13.73493,-10.12022,-29.48179,-8.240527,-23.77059,-23.31534,-12.60879,-31.70453,-7.99597080005333
4.569613,5.883098,14.50416,-5.746588,-19.12015,21.5063,-30.68269,-31.30115,-14.97377,-4.925878,-32.63153,-5.69334,-38.76012,-30.34672,4.805453,-50.31604,19.65488,13.27181,8.376533,4.20442,-12.93663,-13.06223,-34.77845,-22.47279,-17.41235,-3.880748,-33.68265,-6.439896,-31.86599,-24.1241,-14.64034,-39.45835,-6.5129708000533295
-0.5611836,8.080431,12.96552,-11.3075,-22.16873,14.26009,-28.08147,-37.65744,-19.49955,-2.738932,-27.49297,10.03532,-37.34668,-24.79798,-6.56047,-62.26929,23.78827,5.349499,11.60261,0.9223472,-8.378318,-13.65386,-35.35365,-24.39446,-20.06498,-2.838432,-32.38883,1.334961,-33.22167,-21.64999,-16.36208,-34.42628,-5.02997080005333
-5.335397,3.79271,4.356958,-19.19514,-24.81784,2.152791,-17.70301,-35.31613,-21.72785,-6.414736,-21.90399,19.4571,-29.42634,-14.55337,-17.10145,-51.23284,23.36984,-4.678835,10.11027,-2.815886,-6.109521,-13.09698,-29.0726,-23.38193,-18.2009,-10.61329,-25.98864,12.10089,-28.13087,-16.1943,-17.35186,-23.61308,-3.54697080005333
-4.625564,-0.5744427,-4.7872,-23.3215,-25.24424,-2.933645,-4.744597,-24.79844,-19.7702,-10.67009,-13.213,22.53412,-16.91653,-4.89818,-15.14512,-26.71611,16.79922,-10.52018,4.674255,-3.181556,-2.83065,-7.385536,-19.59221,-17.39328,-5.601731,-13.19276,-12.20465,14.80285,-14.6809,-2.713771,-15.79355,-13.65642,-2.0639708000533297
-0.3633016,0.4407293,-11.76006,-21.63992,-19.45937,-0.816778,5.307988,-11.84358,-9.14196,-5.459895,-0.6901807,18.07686,-6.027595,0.6013413,-0.5007767,-4.841324,7.964229,-9.617985,0.5047755,-0.8443003,2.371425,-0.6542582,-7.999708,-9.308259,10.12367,-3.498867,-0.9431125,7.592373,2.764637,10.3833,-12.36075,-5.312164,-0.5809708000533291
-0.3633865,-0.194797,-15.03584,-9.47482,-9.025559,5.751064,11.87987,-1.789087,7.924616,5.437028,8.047371,13.89194,1.819003,5.375052,22.76157,14.56696,0.3514982,-7.998155,2.780937,-0.820497,5.212848,6.744268,3.48526,-2.420908,20.21518,13.14303,8.792454,-0.3758011,15.89541,14.0281,-5.605846,6.185753,0.9020291999466696
-5.517121,-6.806639,-12.27325,8.761865,0.8252079,12.68113,22.13924,4.602781,19.13777,9.52763,9.978811,12.50408,14.21529,16.10671,40.43558,34.89212,-6.406452,-8.481017,4.266871,-3.92926,6.399184,15.72235,17.08884,8.790003,24.36055,25.7317,17.93802,-2.257246,23.9875,16.84408,8.343127,23.24536,2.38502919994667
-10.22937,-9.737957,-12.65848,16.22674,3.512258,14.05474,28.73188,7.625882,19.40865,13.80771,8.410949,8.619236,27.44014,27.69685,46.64458,50.13821,-8.461521,-12.34154,3.536579,-9.044248,7.170116,22.72839,25.82242,17.3623,26.45202,27.84074,18.68541,0.2918383,29.56568,22.30638,24.29763,34.8816,3.8680291999466707
-11.76372,-4.021478,-13.08452,10.61844,1.738254,13.16439,25.37698,12.10987,18.95,20.18067,9.851979,11.34582,31.82319,31.06954,48.60794,57.60179,-4.004036,-14.14225,4.673296,-11.5848,6.956295,23.08092,26.66765,20.8367,27.23676,26.16567,17.18097,4.539172,32.11562,23.02058,31.5506,36.13222,5.351029199946671
-3.274917,3.01171,0.1047264,2.811026,2.150955,13.53317,13.03328,11.04682,24.35704,22.0145,13.37529,21.34698,30.1841,28.44577,45.51791,56.48279,6.072355,-13.9212,5.824134,-4.552477,4.938088,19.33979,19.90852,18.12295,24.88054,25.76158,17.73998,11.27515,31.88094,19.86063,28.48421,29.86442,6.834029199946672
13.79364,3.363926,15.73148,-1.163534,2.777401,10.57399,-2.033895,0.8603001,29.77093,22.99512,4.783023,17.63049,24.87181,23.92099,34.73506,45.55299,14.06034,-17.22793,6.728575,4.014211,-0.4282476,12.33248,4.79609,8.633438,23.65207,19.90003,18.98439,15.68071,31.12227,18.39442,19.42437,17.84448,8.317029199946672
