aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-7.814226,-5.672696,-2.547494,-3.793176,-6.796138,-17.10269,-14.56387,-18.32669,-8.093556,2.131383,-6.46933,-12.24278,-6.360737,-13.58655,-21.82288,-43.67231,-4.423217,-8.389028,8.589139,15.20449,-12.24231,-2.061116,-2.976477,-14.79109,-0.5955496,-4.988066,14.5514,-7.033286,-9.325405,-10.68557,-15.4795,-32.0563,-8.51409129984677
-1.379736,-5.160349,0.005017142,-6.983574,-5.516591,-11.56853,-11.05373,-20.00483,-6.638184,6.547483,-2.597853,-6.443489,-4.125941,-15.41148,-24.65215,-43.39453,-3.440171,-8.078085,8.70342,14.20759,-10.97383,6.591363,4.027576,-13.62403,-3.663686,-9.755176,4.346086,-8.222253,-8.292267,-10.02232,-17.44872,-29.29617,-7.03109129984677
3.220642,-2.772947,1.641806,-10.54963,-3.655051,-3.955604,-6.269147,-12.05531,-0.7751685,4.942024,6.369633,-2.430549,-1.509016,-13.9132,-24.77661,-34.87312,-5.204258,-8.978003,7.332627,3.146017,-2.867424,16.94304,10.39742,-10.42026,-5.308292,-11.81891,-6.733237,-5.156108,-8.772131,-9.67585,-16.79682,-16.77737,-5.54809129984677
7.437737,0.5829019,2.166418,-9.387706,-2.099839,-1.014706,-3.590621,3.018833,4.183639,-4.533995,15.94157,1.293861,-1.146108,-11.0873,-19.71908,-27.69472,-3.148819,-8.576381,9.902795,-3.45882,2.305148,16.52203,13.9903,-4.574082,-3.405913,-14.20937,-4.47252,0.09138061,-10.59521,-9.589234,-12.78387,-5.03215,-4.06509129984677
14.67348,2.282142,2.081782,-3.920212,2.101822,-1.651019,0.724094,17.38564,5.655044,-12.37423,19.02157,7.475208,1.433473,-8.475696,-6.613327,-17.38444,3.136404,-3.4719,8.763193,-7.219591,2.813157,7.053862,14.71281,6.061841,0.02648784,-14.87362,6.169609,4.936768,-9.67481,-7.430482,-5.956427,8.639784,-2.5820912998467698
18.659,1.066478,0.7047079,-0.478597,6.207591,-0.5774703,8.46354,25.24121,5.847005,-10.34257,11.75533,8.656342,6.204125,-4.014818,8.681545,1.458464,3.569627,2.749606,1.304612,-12.65671,1.899366,-0.7749171,12.71654,18.29949,4.151431,-8.727844,11.90179,7.389145,-6.274779,-3.662482,1.985307,25.45746,-1.0990912998467692
16.29262,2.039248,2.722137,1.201651,5.63906,3.859877,12.99303,24.10351,0.5445557,-4.742896,0.8012156,-0.5553193,7.155578,0.9685788,15.97134,19.99372,1.653914,7.157958,-3.338691,-11.07903,-1.684195,-7.865979,7.414142,19.36215,3.948657,-1.506752,5.542069,3.762278,-2.042669,0.04733072,7.348699,28.22957,0.38390870015322953
10.34126,8.3425,3.22031,7.18913,-0.3375402,12.24768,14.27592,17.3791,-7.156113,-0.7317166,-7.202777,-8.127992,8.142125,4.574625,18.2996,32.14603,1.500446,8.684283,-6.288518,-6.1512,-4.575422,-12.22725,2.986337,13.42911,3.065131,5.529594,0.7336136,-4.491398,5.317801,2.52511,11.13873,22.14727,1.86690870015323
2.591253,14.00246,-1.828239,12.56587,-4.397503,22.61371,16.74107,10.94855,-6.922881,4.975828,-13.33258,-8.34754,11.77506,7.209657,25.53812,39.23028,-1.177224,7.881626,-9.356156,-5.442471,-2.299742,-9.492767,3.191765,12.33591,9.464241,14.58656,0.2084541,-10.73456,15.96729,5.457747,16.27428,19.03844,3.3499087001532306
-3.362984,13.94059,-0.6201792,12.48199,0.3443983,25.60116,19.19393,6.049754,-0.5283592,10.56431,-17.62028,-8.72173,13.32724,8.702005,31.26648,37.91826,-0.03142858,6.522119,-8.076765,-1.620179,2.029499,-3.710861,5.146813,13.44126,16.30312,18.9119,-6.684525,-12.94837,23.78738,10.49687,18.67465,12.33383,4.832908700153231
