aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-1.057873,-1.90973,10.20825,2.392998,-1.268297,-6.851793,-9.582371,11.29547,-18.70165,-0.7706787,6.722077,-7.530629,-5.78905,-12.05508,-7.018267,-11.36985,2.792455,0.9105992,7.771555,18.27242,1.518369,1.662918,-4.999992,-2.404447,-12.19519,24.1621,14.37883,-2.616446,-5.082569,-6.547142,5.926692,-20.01694,-8.33606750005856
2.933487,-2.897859,12.0903,3.086611,-0.2488777,0.4119183,-3.385484,12.25774,-20.00249,-3.066605,1.279397,-4.649348,-3.494457,-5.412366,-10.03009,-9.41589,4.334706,1.872469,4.604078,22.31671,2.360449,3.30101,-3.937813,-3.907919,-16.48874,21.3564,17.3626,0.08167062,-2.044187,-2.436525,3.48405,-17.53797,-6.853067500058559
7.464136,-2.906027,10.09184,0.5757514,2.332219,5.475937,5.525078,10.1593,-17.79845,-3.071576,-6.164685,2.619141,-1.833451,3.355812,-8.761867,-2.514814,6.058376,5.456159,1.035153,18.13198,3.867419,2.816225,-1.27367,-2.137176,-17.55211,10.26813,10.64325,5.365886,0.1372155,2.974588,2.528112,-8.113054,-5.37006750005856
6.421343,-3.874579,3.163387,-0.5834718,5.46098,7.303921,9.388358,5.90876,-16.10944,-1.920539,-10.78443,9.505394,-0.4728223,8.660056,-8.805094,1.161413,6.423408,8.071353,2.037668,11.05852,3.593457,2.973527,-0.1218048,1.156255,-12.4218,-2.717033,2.359864,8.079071,1.388611,7.684354,1.608055,-3.238245,-3.88706750005856
2.606195,-2.603049,-1.502606,4.123807,6.749369,9.20441,8.179634,-0.05102185,-10.11003,-0.6707535,-11.90015,11.02669,2.039502,10.79846,-9.583957,-0.1731388,4.02533,6.334152,6.889686,6.066812,0.334691,4.258392,0.15191,2.942881,-2.825881,-9.508598,2.409943,6.968095,3.463213,8.990444,-1.125136,-3.040052,-2.4040675000585594
0.1071261,0.4704232,-0.1879173,9.631909,4.481704,5.416055,3.900918,-3.151241,0.7415501,-0.6488217,-8.483229,8.343834,2.689438,7.479008,-10.10774,-0.9466933,-1.036795,1.56737,10.47023,1.05052,-2.168523,4.030763,-0.5395829,3.230856,3.680947,-12.73933,5.787391,4.899486,3.906345,3.499235,-4.903869,-4.743527,-0.9210675000585589
-4.426638,-1.521351,-1.225284,7.383228,2.513502,-0.3560017,-0.1107213,-4.12608,11.64966,-7.558711,-1.203127,5.397002,3.654015,1.093646,-11.59969,1.521151,-6.072612,-3.131108,6.224941,-5.237308,-3.268123,3.34114,-1.211755,-0.2161891,5.668339,-16.99489,6.943953,4.134905,4.826548,-2.960425,-8.205095,-6.624914,0.5619324999414399
-7.762046,-7.723575,-2.942272,0.4389277,-0.4772955,-4.16179,-2.824055,-6.192881,13.9627,-16.36271,1.977587,0.992823,3.411897,-3.704233,-10.54609,2.010693,-8.073158,-4.804119,-6.350699,-8.328832,-6.132841,3.172119,-0.5038483,-4.950954,6.351631,-16.66873,4.787766,2.790396,6.329752,-5.415991,-4.54459,-2.473031,2.0449324999414404
-6.041795,-8.981999,0.5592969,-4.362243,-8.813905,-9.876542,-5.719919,-7.421218,8.533111,-12.92805,-4.833164,-5.77598,-0.6451897,-7.237678,-5.677498,0.5157543,-7.980102,-3.006899,-17.95478,-8.401749,-9.897282,5.307976,0.3987693,-5.711105,3.924185,-13.85686,-0.6891838,0.2924825,3.891464,-5.419969,2.675449,7.810927,3.527932499941441
-7.069746,-4.660245,1.099911,-5.705916,-16.08311,-11.22684,-7.555632,-6.647669,1.397364,-3.300193,-13.67952,-13.59322,-6.065409,-12.00206,-3.533452,3.359837,-7.505927,-1.832376,-21.67447,-8.836877,-13.1267,8.91398,1.6834,-5.469904,1.374613,-14.69041,-5.250328,-1.729255,-0.2300063,-2.198525,-0.9682821,11.63358,5.0109324999414415
