aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
2.91632,-7.807117,1.973529,-19.65626,-2.535195,-15.22884,-13.62897,-2.445183,-20.18673,-20.34693,14.50174,-4.188707,-15.24752,1.972961,-20.84806,-24.00109,-0.2043985,2.451832,-0.4979692,-7.80264,-5.423534,-1.389207,-8.874632,-3.86812,-3.412428,-7.310195,-1.286164,-3.079362,-9.016956,1.695823,-10.6993,-14.85066,-8.13779020006768
5.253175,-0.8675718,3.61098,-11.2125,1.426325,-15.54314,-12.20736,-3.501057,-19.86161,-23.82811,11.76196,-6.228277,-15.70031,1.389382,-25.10419,-29.22183,4.604389,5.239887,1.834837,-1.80479,-2.605421,-4.43661,-9.254679,-5.34094,-5.004776,-12.98568,-7.06255,-7.562582,-10.66885,-0.9700809,-13.1904,-17.94801,-6.65479020006768
2.856891,7.205937,9.171627,3.863556,3.99174,-12.14715,-6.894985,-3.448952,-14.9739,-20.88291,4.415728,-9.664594,-9.507504,-2.744188,-24.66798,-28.17554,8.488297,8.263762,7.370911,10.21353,3.969896,-4.355934,-6.066696,-7.072232,-6.749236,-11.9167,-10.49165,-5.5713,-9.264772,-2.877848,-11.95125,-18.62266,-5.17179020006768
-2.064294,7.893585,10.71421,13.64564,0.8232874,-5.365406,-0.03892248,-4.336785,-7.088132,-11.36253,1.030071,-15.84434,-0.7309546,-3.333487,-14.41383,-17.63136,5.957532,8.943475,12.53704,17.63961,6.327518,-1.383675,-2.308005,-6.771107,-7.903554,-6.965824,-8.818374,2.309399,-4.183252,-1.681256,-4.643154,-7.836193,-3.6887902000676807
-2.693317,5.931343,5.836688,11.66057,1.166676,0.8786644,5.618653,-2.236575,4.346447,2.885321,0.9833898,-16.80498,2.485438,1.457634,0.6145243,-2.959083,1.691587,8.796318,9.534586,13.70487,-0.1869304,-2.47905,-0.2070143,-2.205088,-1.939462,-3.289063,-2.887727,7.053917,-0.2827678,0.2487316,6.101447,7.260711,-2.20579020006768
0.3495624,3.215052,0.3464174,5.883655,6.488948,3.809238,5.265631,2.413536,12.18806,13.98311,-0.8120407,-7.783139,0.7844654,2.216154,8.668313,5.699707,1.000031,9.015218,0.09250512,2.389483,-7.168319,-3.410767,2.802348,5.28922,8.713336,2.002647,-3.167605,5.32848,-2.154873,-1.442941,12.17248,16.47583,-0.7227902000676796
4.21848,-1.412107,-4.853144,1.846154,7.228093,5.077506,1.518873,3.166149,16.5775,18.77636,-6.517039,4.642787,2.7353,-3.238491,11.13371,11.07457,1.103477,5.765867,-3.826129,-8.290349,-8.689801,-1.454744,4.755624,10.84465,15.2109,11.10187,-6.623526,-1.859958,-2.98277,-4.350393,12.02983,21.40712,0.7602097999323192
4.735161,-3.656095,-11.42516,-2.862701,3.004008,6.881666,1.789835,0.1868193,20.06305,21.82876,-16.70704,14.20278,11.92882,-4.857618,11.56733,17.42811,2.185547,-1.170056,-2.852424,-11.65549,-6.012284,-0.8024399,4.655716,10.76185,14.10814,20.19159,-4.079205,-7.438019,6.181084,-4.55034,10.15892,23.31326,2.2432097999323197
3.207881,-4.061019,-11.88158,-5.951192,-1.206414,6.127456,3.509433,-4.869069,14.0783,22.69964,-25.35024,16.78255,17.46489,-1.493962,6.178975,15.92432,5.650731,-8.785483,-6.134404,-9.413211,0.4012228,-0.4586413,5.042089,4.308188,8.000083,19.09968,5.251079,-1.434747,15.03311,-5.941737,3.55517,20.76715,3.7262097999323203
3.131537,-1.599261,-11.74989,-4.228843,-3.21446,1.071731,3.384821,-10.63066,7.465711,13.44407,-19.86349,10.52581,8.787241,0.7696926,-2.365426,7.681045,4.082536,-11.72806,-11.90749,-7.183639,4.066807,-0.4212345,3.098888,-4.72923,3.423218,5.622954,17.53177,8.810277,8.907249,-8.078095,-5.273534,11.08592,5.209209799932321
4.592159,2.051874,-8.671754,-3.341246,-2.986713,-2.814497,-0.0723481,-10.8087,1.841166,0.7887152,-12.04118,6.195917,-1.90207,1.584568,-6.940312,1.425079,0.1437758,-12.80635,-10.39638,-5.706819,3.963583,-0.189738,0.603392,-13.64074,-1.631435,-2.910091,17.7962,16.35317,-2.951559,-6.284419,-11.29692,-1.657315,6.692209799932321
7.277783,1.727128,0.0260015,-2.18659,-5.167283,-1.894711,-5.24629,-4.97408,-3.484522,-1.802284,-8.080406,8.829973,-2.852085,3.165864,-1.952918,2.367293,-1.065404,-14.29807,-1.705639,0.01962873,4.766042,0.5927955,0.9728676,-16.88996,-4.454484,-1.537888,5.657497,17.12582,-4.301238,-0.1250251,-10.23852,-3.225982,8.175209799932322
8.048019,-1.828531,1.090184,4.167451,-9.905738,0.6205818,-7.123594,1.455372,-3.428949,0.1708274,1.777538,4.71019,-0.6131785,4.695894,8.658228,6.948201,-4.27261,-11.02925,4.254722,6.891697,5.69061,1.110308,1.105336,-12.06219,-1.951389,-1.987929,-2.670656,7.589445,2.285937,6.27833,-2.891724,3.442693,9.658209799932319
