aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
13.64539,-0.03760908,20.86302,16.27518,-16.18837,0.856413,-20.36,-7.702746,-15.03509,-20.2937,-34.73712,12.25157,-18.99955,-17.25217,-26.98002,-15.0068,12.51085,3.161989,7.857659,9.841769,-7.864113,-16.12676,-24.68432,-20.5041,-23.43576,-27.26492,-15.57024,-0.5166623,-14.53141,-16.45094,-20.52208,-1.708056,-8.63421839987859
21.59273,6.042696,24.41943,16.36554,-13.42546,-0.746621,-22.27979,-9.06638,-13.33172,-21.5471,-35.07144,19.04811,-17.87768,-11.8673,-31.42748,-21.12505,18.50539,8.661077,10.15415,11.24219,-9.979431,-16.01739,-25.7781,-20.93947,-25.35975,-28.80044,-13.15725,-6.131586,-14.13666,-5.316188,-20.27527,-3.323525,-7.151218399878589
21.79401,5.678434,24.47715,11.67847,-5.203406,-5.559377,-18.88455,-11.14559,-8.816593,-16.92761,-17.95192,19.31398,-12.62731,-4.05271,-24.28926,-20.28754,18.83286,11.12598,9.791531,10.50395,-7.512495,-8.835641,-23.27319,-16.45017,-14.02257,-21.98946,-2.263777,-8.738023,-10.10994,7.572604,-19.06114,-6.272421,-5.668218399878589
14.42455,1.47368,19.29484,6.807891,-0.7580107,-9.343942,-16.05193,-14.62422,-5.444303,-10.68356,2.262752,19.47482,-9.651173,-1.897571,-10.31867,-14.69348,13.76849,8.533191,7.951682,4.221415,-0.5143841,-2.963253,-22.10973,-14.6332,-0.2468454,-11.73921,7.458104,-2.409695,-10.34869,5.876634,-16.24991,-8.626213,-4.18521839987859
6.304216,3.911817,5.53704,2.343224,-2.509281,-12.21564,-12.91386,-14.17933,-3.103554,-4.999233,7.752754,20.83675,-9.088585,-5.439765,2.115199,-7.252398,8.008677,2.404943,1.489827,-4.865044,5.972916,-0.4957083,-18.31268,-14.78306,6.348485,-2.907579,-2.213924,2.461128,-11.28532,-3.543656,-9.452992,-8.726614,-2.702218399878589
-0.8176414,8.857335,-7.928169,0.9764644,-5.116581,-15.74299,-8.387495,-8.740339,1.956766,-2.946755,-8.580698,6.326314,-6.180837,-8.510939,7.868077,-4.547332,4.254713,-2.456431,-8.282013,-10.07923,6.285272,0.4461848,-12.77805,-13.82031,8.135085,2.636741,-29.24732,-7.051992,-6.712671,-8.567529,-2.746739,-4.802528,-1.2192183998785886
-5.46738,10.28619,-12.70534,2.465768,-2.458698,-15.12237,-3.777938,-5.391247,14.44954,3.093784,-23.40232,-12.1993,2.537803,-3.516416,8.185186,-3.489001,0.6421455,-3.934147,-11.88848,-12.38926,1.466062,2.930031,-7.074719,-10.41822,7.873853,10.44669,-47.75414,-16.97958,1.555408,-6.134291,1.50921,2.40535,0.26378160012141016
-1.57402,10.15976,-10.1536,2.754109,5.246746,-6.986069,0.7310402,-6.821431,31.23186,15.15674,-20.96213,-15.91948,13.55095,7.506364,8.513749,7.452037,-1.692524,0.3161822,-4.889716,-13.45346,-0.9137249,7.116829,-0.7760842,-4.985963,6.54283,17.31969,-42.69739,-12.72184,10.10641,0.4929011,8.315238,13.15095,1.7467816001214107
9.768766,7.970848,-0.8178436,3.756571,8.891286,-0.6289528,5.43994,-9.927154,37.83139,22.20929,-10.86408,-13.27643,17.02004,13.42816,12.90267,18.95221,-3.431988,8.576853,4.185555,-7.91482,-0.03396712,6.265162,5.755729,-1.362835,6.699116,17.42364,-19.43812,0.5533737,10.94481,2.517661,18.62595,19.42291,3.2297816001214112
19.43028,2.088534,6.369259,6.914082,5.350756,-1.141264,7.536186,-9.421011,30.80234,18.34537,0.01549179,-10.5201,11.61042,8.175223,16.94898,19.64143,-1.475163,10.33706,9.591278,2.808245,-0.9910934,0.3568074,12.30156,1.385277,8.658439,14.36577,10.05653,9.020691,5.484564,-1.688102,25.33336,14.29944,4.712781600121412
