aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-4.193049,-2.54039,-0.506823,-10.95978,-18.00618,-8.719123,0.2324844,3.484918,-25.80265,-20.98874,-5.88361,-9.742566,-6.53321,-3.584433,-3.93065,-7.980963,5.733869,-10.51088,3.648027,-9.028186,-14.15726,-1.98497,-0.6004742,-5.96513,-33.3836,-12.0545,5.630353,-17.05684,-12.01097,-7.745542,15.05866,-17.81777,-8.80812039994635
-1.474243,-5.710518,6.446997,-1.252789,-17.0912,-5.121174,4.075814,5.976931,-23.00484,-22.93328,-11.53274,-9.568663,9.015011,3.921465,-1.87636,1.095445,10.1469,-12.00846,10.96445,4.382846,-18.76529,-1.011429,-0.1856758,-4.101849,-30.23484,-14.84848,8.173053,-7.382435,-1.539136,-2.461893,15.28155,-16.10383,-7.32512039994635
0.9526762,-7.429164,19.13377,11.54463,-10.17032,-2.180068,6.917684,5.322802,-6.249043,-13.16017,-13.47552,-6.587563,25.14312,13.02963,7.332098,10.6532,11.14469,-10.61913,15.24904,20.94124,-10.52572,-0.02393168,0.527933,3.917894,-5.43231,-2.380986,6.702752,-1.269398,16.45627,5.290358,16.29351,-3.785404,-5.84212039994635
3.738957,-4.231986,21.19905,18.57831,-1.413287,-0.08015457,7.643783,5.811753,9.745492,-0.845694,-13.48147,-0.2160648,25.14387,17.28996,10.78156,13.90742,6.358489,-6.645272,11.84123,26.03348,4.642587,2.427685,2.224661,7.826277,18.6833,7.510541,2.171452,-3.318708,21.8541,9.59159,13.34774,8.267046,-4.359120399946351
9.863559,2.109158,12.97503,20.65334,2.627442,3.601376,4.793798,6.842588,15.80416,0.7973745,-11.52714,8.125836,10.50814,13.44738,2.364253,8.991958,4.041761,-0.09561402,4.638306,20.51272,11.07136,4.137551,2.456362,1.127679,27.06436,3.787673,-1.067074,-6.414425,9.184841,7.339113,5.387803,14.69341,-2.87612039994635
9.377028,7.841719,6.330549,16.70405,2.135451,2.934645,-1.549091,3.499274,12.27144,-2.530475,-2.650597,8.952816,-3.266445,5.015372,-10.29662,-0.5365631,0.9412053,6.558913,-4.255047,6.521496,5.626731,2.358133,-1.221999,-3.357929,23.53698,-2.740779,-4.752212,-7.35826,-1.570829,4.579136,-1.311532,17.89692,-1.3931203999463495
0.4414272,7.704806,-1.62903,4.352339,5.752418,0.6167045,-6.103581,-1.329913,4.446955,-5.676172,8.369429,2.29483,-10.37807,-2.414429,-19.6774,-7.667896,-10.35225,8.322386,-14.4957,-9.013769,-3.550807,-0.24406,-3.916123,-0.790243,11.08089,-6.964478,-8.233878,-0.9952405,-2.117696,7.040627,-7.880355,12.40194,0.08987960005364926
-4.293697,-0.453993,-10.40035,-3.759722,12.61257,4.999329,-7.708629,-3.364673,-1.56322,-13.29026,13.83203,-2.206679,-15.06241,-7.967049,-20.03289,-13.67162,-17.33853,5.346015,-15.97436,-7.602845,-6.777318,0.7204125,-3.693347,-0.8035869,-6.308104,-8.957171,-8.393439,10.63689,-5.540964,6.666946,-16.8294,-8.860519,1.5728796000536498
-3.658338,-6.966961,-16.66944,-3.767343,13.66076,11.95656,-5.966378,-6.102653,-6.229703,-15.85761,13.79234,-5.760317,-15.71729,-11.07699,-11.32724,-14.6282,-15.92241,2.885056,-10.47701,-1.534213,-2.631998,2.87604,-2.753921,-5.090568,-16.15804,-5.971376,-10.54901,18.02249,-13.95215,-0.1284681,-24.07616,-27.27971,3.0558796000536503
-3.494547,-4.859755,-21.35092,-1.708185,10.99944,16.83961,-2.206193,-7.377104,-7.045604,-11.67411,10.72605,-8.571918,-14.47716,-11.79466,-1.5107,-5.421701,-13.3847,1.244,-9.909448,-6.692003,6.490788,1.083337,-0.7665716,-7.712996,-16.95072,-1.655694,-15.96064,17.2264,-19.09706,-7.287105,-24.15239,-25.27193,4.538879600053651
