aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-7.869947,-1.884466,-7.034545,1.511783,-0.3930591,-6.170384,1.933209,19.60255,-11.3036,1.791555,5.620776,-8.043665,-15.47788,1.434999,1.429629,-6.48397,3.099173,4.281476,6.144716,11.67439,1.108304,3.976705,3.792288,5.884224,-18.74285,-3.468891,6.436188,6.24061,-3.920574,2.222551,-9.450318,1.169736,-7.90040869999211
-4.788947,-2.91663,-14.94574,-0.5833739,0.9466339,-5.554206,1.492282,17.8095,-12.19944,4.749435,3.507682,-18.37568,-18.47484,-1.693522,-3.020679,-7.51961,-0.1497347,-0.6077194,0.4426209,9.239613,-0.4586974,8.65577,2.972992,5.813143,-24.53505,6.205576,4.401458,8.277332,-9.103986,1.004224,-11.19503,-5.191944,-6.4174086999921105
3.636386,-1.054307,-22.91168,-4.0832,-3.060055,-4.987111,-1.520002,9.039805,-6.965924,2.628324,-5.276045,-22.11255,-15.26961,-5.607285,-6.956018,-0.40192,-3.026887,-10.59194,-7.153181,-2.022576,-3.906358,6.404267,0.898817,3.466363,-21.67082,10.84354,-2.727678,4.513284,-12.35908,-2.192566,-8.186569,-6.70998,-4.93440869999211
6.234228,-0.8893249,-19.08791,-10.00659,-10.28924,-2.313078,-5.176141,-0.7481793,-0.8185194,-4.704784,-13.43021,-14.4374,-7.201318,-6.158137,-9.462455,7.489538,-8.623815,-15.05783,-11.9054,-13.98186,-10.61595,3.881617,-2.346131,-0.1830814,-16.06949,7.746609,-6.752986,-7.007236,-8.605998,-2.508023,-1.872956,-2.952253,-3.4514086999921103
2.44545,-1.729238,-7.913925,-16.09432,-13.4696,0.5601182,-7.183976,-6.473666,4.905559,-3.27178,-13.8765,-1.31574,1.076433,-3.623873,-7.356195,6.590741,-11.85743,-12.3041,-13.62031,-23.85343,-13.62963,3.329098,-6.538579,-6.469201,-5.706288,8.205783,-2.173341,-14.82482,1.099381,-0.6059889,4.08567,-2.526478,-1.9684086999921098
-0.4771127,1.091668,3.307616,-15.80054,-15.53348,-1.322533,-7.537197,-4.564113,13.00943,5.696057,-9.174402,12.96012,7.835902,-0.8072163,-0.704046,3.788176,-6.097676,-8.164728,-12.74862,-27.71398,-12.93538,-3.373619,-9.305256,-12.18404,9.239481,16.86234,8.331429,-12.1742,11.90924,1.751708,9.498917,-4.160121,-0.4854086999921092
-2.503022,4.915156,11.29277,-12.21431,-20.32457,-8.024933,-9.13902,-2.344088,23.20696,8.014666,-3.963185,22.29881,13.06831,-1.107158,4.329591,2.034979,-0.5431463,-4.674942,-10.99996,-26.99737,-12.07794,-12.74385,-10.50855,-12.37266,20.10358,25.69706,14.63755,-4.445337,19.57059,3.779577,11.60108,-5.72414,0.9975913000078895
0.1628175,4.903519,14.97896,-5.263049,-23.57492,-12.59606,-9.595783,-3.851115,26.79121,8.202383,-3.825209,22.27562,16.02047,-2.492977,9.636566,-0.9569761,3.625535,-0.2890135,-7.743522,-22.86228,-7.836515,-15.8441,-10.53287,-10.65162,24.65408,29.35834,8.82369,0.9257135,21.94696,3.794506,9.009165,-9.601793,2.48059130000789
4.33432,-1.441224,18.37064,3.20004,-20.44534,-12.04619,-5.716031,-5.285642,15.39954,12.59637,-5.410842,15.08746,16.10685,-0.9301475,13.77277,-2.807233,7.21989,4.292561,-1.070702,-12.07931,-0.02065652,-13.59558,-7.625429,-10.71696,21.84617,23.00827,-0.8362316,2.568864,18.07843,2.820458,5.509983,-12.48221,3.9635913000078906
8.562535,-5.625178,18.17762,10.37227,-8.943681,-10.60195,-2.112847,-7.283108,0.7836417,15.83997,-2.042567,0.6293392,13.35895,2.403196,11.1037,-8.319857,12.82652,8.478779,9.511395,1.548647,8.552674,-11.41967,-3.941603,-9.698593,17.54114,10.81731,-6.759567,1.43823,11.26902,2.719058,3.551943,-9.764964,5.446591300007891
