aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-1.757594,-4.850631,5.458197,-0.2035088,-7.057157,0.3701371,-6.04248,-4.312528,9.820825,8.774661,-3.03168,-17.09509,-2.550458,-0.2564498,0.6506556,3.201363,-1.20882,-8.884044,13.96274,4.151232,-7.182842,-5.852651,-3.894915,-0.9439247,6.711164,0.5425268,1.363832,-9.999297,-7.803911,-3.386953,3.34307,-14.47626,-9.96111640008166
1.704204,-6.628346,2.399107,-7.438411,0.1854488,-0.6135403,-4.989014,-5.215195,10.68527,20.21456,-0.2461172,-14.39452,-3.885799,-2.731513,6.263212,0.5920875,0.9951179,-7.717297,16.95267,-0.6671537,-7.610454,-6.29827,-5.668716,-3.717843,10.7141,0.6738918,-3.983759,-14.76539,-6.934303,-6.732194,-0.5306428,-15.85865,-8.47811640008166
8.59997,-6.932218,-4.091775,-7.142328,7.061585,0.3815979,-4.547022,-2.557562,6.066612,20.53186,-0.4032513,-9.775673,-6.470242,-5.037597,5.929992,-7.375592,1.904866,0.8820024,12.88022,-1.653775,-1.724714,-3.393595,-7.897577,-7.599577,9.722435,-1.339717,-6.592761,-14.42465,-1.994406,-7.056119,-5.354678,-15.76713,-6.995116400081661
11.21634,-2.982614,-6.752432,0.4262132,10.68724,1.45217,-4.037664,2.133147,1.740187,15.49148,-6.69176,-5.070927,-9.74308,-6.471276,0.8469474,-10.3091,-1.729182,9.210892,3.122924,-1.296465,5.008416,-1.642521,-10.39707,-10.15476,8.982763,-4.339027,-9.230855,-9.488141,0.7322498,-7.031949,-6.395703,-13.29782,-5.512116400081661
2.869058,3.653667,-0.8594872,6.122072,12.29031,0.4594293,-2.791846,6.287597,-4.325969,4.8042,-7.747537,3.274999,-13.63854,-6.879621,-6.86534,-7.112431,-6.141864,8.259245,-6.602758,-3.053663,7.746718,-0.6791995,-9.437544,-9.352055,6.029728,-9.836754,-9.510898,-3.131123,-2.998571,-7.610996,-4.739728,-6.186583,-4.02911640008166
-10.24433,3.981378,5.429809,6.53033,11.5372,2.390902,1.597271,12.66521,-5.296343,-2.803081,-1.423997,11.9563,-10.74509,-2.612231,-12.14891,-1.354109,-8.639798,-0.7063698,-15.83742,-5.138833,6.485931,2.903781,-3.132212,-2.008544,4.424264,-11.70221,-6.56911,2.43103,-3.940124,-5.286664,-1.193746,0.3304488,-2.54611640008166
-18.36102,-1.168959,12.24239,4.380794,9.195579,2.545315,7.210353,17.17073,-1.215171,1.244713,3.312966,16.22029,-1.483899,1.148472,-7.689021,2.993332,-9.776241,-8.680234,-19.55153,-8.744639,5.156178,3.741966,5.634905,8.460439,5.714946,-3.46768,-6.201187,3.99684,-0.1512635,-2.213206,0.8787531,2.034954,-1.063116400081661
-18.18959,-2.988414,13.83885,4.68605,2.691055,-2.171715,9.593535,16.249,1.363968,3.990092,0.7332464,12.30702,7.077554,-0.9483827,0.1443556,7.955884,-7.267437,-12.27965,-15.01772,-9.115633,4.00212,0.1670951,10.73465,16.39101,6.463087,8.527927,-6.550362,2.05745,3.639049,2.081864,2.622158,6.922697,0.41988359991833946
-13.18574,2.256527,5.87392,2.906105,-3.517295,-8.382273,12.41105,12.94407,3.315551,3.860682,-2.658846,7.865798,11.76052,-6.50565,7.23536,16.92535,-2.037998,-9.331217,-4.230553,-1.246278,4.121535,-2.132319,14.46331,20.01311,6.133998,22.28795,-5.842764,5.119369,5.089074,6.227376,6.454497,20.59055,1.90288359991834
-4.60906,7.834716,-2.596006,-0.123788,0.4894345,-9.760264,15.51207,7.254566,5.748993,3.128917,-0.8392377,8.08886,10.21763,-11.45221,9.724089,21.07254,5.220313,0.01877641,8.177177,10.83464,4.857603,-1.643277,16.81894,17.60508,3.581982,25.57186,1.953582,9.942407,4.317367,7.607332,8.175733,32.43052,3.3858835999183405
8.045164,9.160238,-7.494412,0.5088568,10.97542,-3.495279,18.23419,1.511802,7.382164,3.079352,4.463455,8.207764,5.586104,-11.20894,11.05309,18.22585,12.73329,8.070478,15.36134,21.99804,4.19875,-1.926184,14.72092,11.0383,1.910899,16.77289,16.62513,11.75193,3.039847,4.454017,9.208914,34.71721,4.868883599918341
19.50019,7.608673,-13.63371,4.055884,17.28107,6.481579,18.92224,-1.590002,9.060264,6.636495,6.623218,7.266142,3.659072,-3.65472,13.21116,9.542691,18.50985,7.847024,16.38668,30.21991,3.630884,-2.443725,8.477845,5.376629,2.518694,7.499384,23.13462,14.20373,2.61175,-1.61016,9.397776,26.90895,6.351883599918342
22.89289,5.062217,-22.71969,6.121011,16.52352,12.0061,14.89499,-2.222308,14.03657,7.457968,2.544595,5.181856,7.95292,8.526403,15.13237,3.41684,20.78487,1.722494,13.45983,34.83778,3.290577,-1.093081,0.08135842,2.332268,7.734149,-0.7311304,14.96242,11.97924,5.608494,-4.226142,8.552319,10.56366,7.834883599918339
19.68543,3.663419,-23.08335,10.56742,12.0634,8.34088,7.202292,-2.52163,19.5896,2.247576,0.6168799,2.904729,17.14561,18.44423,18.90037,7.73982,16.01877,-1.447058,8.137448,32.47361,3.131707,0.5220099,-5.041536,-0.5491609,11.8585,-8.503393,-2.335434,-0.3878963,11.39856,-1.924464,6.732248,-3.367084,9.31788359991834
16.01214,2.473863,-12.84493,19.05683,9.070704,-0.3044147,-1.26098,-5.508871,19.24129,0.9946406,3.112127,3.878702,23.85724,20.67339,21.87094,14.7576,7.848207,1.13788,5.169824,18.85854,1.338556,0.1422909,-7.089513,-6.843559,7.637184,-13.77867,-17.50623,-13.06215,12.07681,0.6652369,2.720511,-8.485097,10.80088359991834
