aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
8.366429,-1.102962,2.036137,0.1504243,-9.423691,-5.508208,-5.007734,12.56124,-8.880225,-8.317983,-7.943856,11.53814,-14.56641,-12.90525,-12.31151,-13.33155,19.9558,-9.884885,6.768119,-5.005985,7.811636,-0.9749975,-6.925842,11.64322,-3.02028,-15.80361,7.508133,11.05233,-13.52214,-13.38795,-1.721852,-30.76984,-8.58439360000193
1.286078,3.610047,-1.468073,-2.152499,-6.145025,-7.634601,-3.65087,9.122098,-5.362618,-1.232781,-5.663577,18.78584,-9.950126,-11.05059,-11.91403,-12.55298,14.25254,-9.418149,9.586511,-4.384598,7.477426,2.80592,-6.558259,7.896551,-0.1096878,-12.85992,8.014421,13.63648,-6.459048,-5.296538,-2.018292,-28.04397,-7.101393600001929
-10.5959,13.53571,-1.28268,-4.12241,-1.552429,-9.634475,-0.9981559,-1.530234,-1.870899,1.530832,-1.734858,12.69424,-3.037024,-5.568061,-5.856499,-14.87242,5.315155,-3.454604,7.42809,-0.7144364,7.871864,7.555585,-2.190901,2.260154,0.134004,-4.909118,5.62223,7.109043,2.908246,7.055516,-3.35514,-12.86367,-5.618393600001929
-8.500391,19.48098,0.9245318,-0.2987964,0.4107429,-6.966323,2.84861,-6.821994,3.892374,4.383156,2.466695,5.02491,0.3087359,3.403347,-1.970763,-16.78074,3.721547,3.68021,1.337559,1.793853,4.642601,9.38442,3.311908,1.88696,0.6045176,6.758794,3.959913,2.918056,9.158724,16.7959,0.001034611,-1.248636,-4.13539360000193
-1.963681,11.99861,-0.3539199,-0.03820834,3.872607,1.880372,7.418832,-1.886998,13.06676,8.662068,3.77894,7.16372,4.352316,7.641738,-4.933651,-13.84497,0.8843875,5.846887,0.8563893,-0.8310631,-3.863772,8.854993,5.140789,2.478752,-1.419708,14.28303,-1.437919,2.335991,10.84005,17.01926,5.084865,0.08593628,-2.652393600001929
0.3535023,-1.701813,0.8455889,-4.002704,1.787611,7.303358,9.443559,4.114388,17.62983,3.386369,1.014597,9.619792,9.461987,11.5353,-7.206456,-8.380584,-3.068191,2.845639,2.629881,-3.537954,-9.412027,7.251454,4.633342,0.2415318,-7.181803,8.759057,-5.664532,-1.181946,10.11213,13.86234,8.161933,-2.376819,-1.1693936000019285
-1.510963,-12.0542,1.25472,-8.004836,-9.877354,8.947382,8.570459,4.871165,17.33412,-7.579776,4.411854,6.941423,13.31224,16.48126,-5.101818,0.9255268,-7.698402,-2.956739,1.269324,-5.167896,-9.266863,5.316324,5.50961,-0.6899449,-7.970273,1.374051,-1.970105,-3.861908,9.404882,12.50139,11.97677,0.9648797,0.3136063999980703
-2.311642,-15.39387,-3.744784,-8.934406,-19.61064,8.652863,7.774437,4.551002,18.753,-14.68387,10.99052,-1.366553,16.00854,16.69878,-2.583825,9.269138,-10.88031,-6.761569,-3.161614,-10.36042,-8.462699,1.51307,5.449829,0.4794913,-2.738675,-2.651242,4.995689,-3.805671,7.451898,10.45618,13.38005,8.043626,1.7966063999980708
1.881757,-12.56463,-9.746344,-3.163135,-19.78418,7.157908,8.362502,6.465944,17.29539,-13.57597,11.47947,-7.831416,17.85654,12.0159,2.675561,11.05969,-10.44983,-4.498504,-8.569372,-17.50049,-8.91145,-4.12318,2.494629,0.4390662,3.085232,-1.303934,5.16063,-4.707656,4.043615,5.834905,12.66246,13.32145,3.2796063999980714
5.820219,-6.750802,-8.94014,7.2288,-11.3203,7.171629,6.044333,4.514284,6.77909,-6.66896,8.755346,-6.845381,18.61365,5.69229,10.26971,11.20863,-8.82499,-0.4263561,-11.7451,-20.76966,-10.23913,-8.919117,-1.597886,-1.769655,7.962234,7.412819,-2.304398,-7.715261,2.597576,2.113835,10.77002,13.21086,4.762606399998072
9.580556,0.8796823,-0.393574,16.98642,-0.1088231,8.343809,-0.6182242,-3.140722,-3.32228,0.2610319,4.312631,-4.643706,19.8112,3.221234,13.81219,15.87687,-4.374826,2.279114,-10.2263,-17.77872,-9.03216,-8.596131,-3.292389,-4.18243,10.84326,9.281529,-10.053,-11.64873,6.159387,2.5638,5.207465,5.195885,6.245606399998072
14.71057,8.007555,6.765193,20.17851,10.61501,9.111225,-5.993269,-10.29638,-1.346838,5.883811,0.9651592,-4.169166,24.92287,3.184095,12.65543,23.52921,1.203622,3.193685,-3.863541,-9.756931,-2.12219,-1.872188,-2.088104,-5.363,12.32067,8.179549,-16.8065,-13.00317,13.31912,2.51144,-0.446771,1.322323,7.728606399998073
16.99339,8.600017,3.190002,12.95608,21.53705,8.069265,-7.288608,-10.67153,7.095004,13.3711,0.9756879,-3.844862,29.09384,2.259691,8.960545,27.22346,4.204828,2.324886,0.9418346,-1.475509,6.465839,6.135782,-0.6012319,-5.409849,15.11191,15.0982,-19.08558,-10.56936,20.60136,0.9612707,-0.2474664,12.15973,9.21160639999807
10.15493,3.816482,-8.79887,-0.8261908,27.32787,6.039412,-6.780494,-6.445276,12.66207,18.57257,2.591384,-3.136525,25.16475,0.8622676,4.938559,29.81168,2.232583,2.377871,2.561161,3.472012,10.48388,10.36789,1.415133,-5.371159,17.27294,19.53224,-13.34145,-10.09699,23.29362,0.2894006,4.544651,31.61439,10.69460639999807
2.777088,0.2565173,-15.28474,-9.194328,23.42082,1.958631,-4.975038,-6.057558,15.69403,18.62785,5.118102,-2.704546,13.53262,-1.354187,3.774583,34.66843,-0.4975602,3.517547,2.070789,8.393015,8.492225,9.360124,5.768028,-6.179825,14.67152,14.23399,-3.892437,-9.496234,18.93732,-0.348427,6.880412,44.87084,12.177606399998071
0.5947196,-2.615284,-15.00275,-9.004829,13.54941,-4.171602,-1.904526,-11.88588,16.22417,21.76124,6.942822,1.079374,-0.5303279,-7.322211,3.612071,29.91985,-4.43516,1.712585,-1.381447,12.24728,-0.03571463,4.400655,9.090455,-9.369947,7.214944,5.474021,-2.586525,-4.861273,9.12893,-4.231167,2.958917,40.09726,13.660606399998072
-3.312461,-5.397117,-12.14829,-3.221895,2.517325,-9.99266,-1.40829,-19.36893,9.941325,24.90804,5.525026,6.032355,-13.45501,-14.39136,-0.121558,10.93407,-11.32983,-3.244667,-8.458455,12.27481,-13.78077,-3.879908,7.368887,-14.67516,-1.140097,-2.280007,-9.291692,-1.752081,-0.8350113,-8.131731,-4.622866,21.13256,15.143606399998072
