aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
0.4945907,-5.972296,15.23465,9.787982,-4.745566,0.9944367,-6.340901,-10.59093,-7.427984,-1.072847,-4.328563,-3.158012,9.529242,11.56988,-4.767699,-1.740807,7.902669,-7.816981,16.33651,-6.060493,-0.3260267,0.9620867,-5.000351,-5.571656,-13.75122,1.620581,-22.9643,-14.83429,7.732485,27.37565,-1.937316,2.49772,-9.68005269998685
-0.08234765,-9.875536,15.41271,12.63315,1.20125,2.591975,-8.084396,-14.1767,-12.31957,-2.186426,-4.846796,-9.489427,11.64201,17.57671,-3.295938,2.885414,4.047248,-14.19496,20.88584,-2.258788,1.693084,2.138364,-7.00513,-4.595183,-16.81435,3.538859,-22.46858,-16.32835,12.50032,34.74556,-1.713408,-0.56005,-8.19705269998685
-3.735557,-16.16741,11.78614,11.06648,7.190925,4.235963,-9.772941,-11.51781,-17.18271,-5.495838,-4.027016,-15.0389,9.091515,16.19586,-1.982977,7.075487,-4.330627,-11.58166,17.06777,-2.93291,2.778512,3.59521,-8.160186,-3.001777,-18.79135,-0.7394935,-9.600257,-9.595776,13.49884,29.94718,-2.721692,-4.244409,-6.71405269998685
-7.246021,-16.30267,10.64203,7.357964,8.781888,5.850162,-10.84993,-6.730804,-17.09453,-11.8999,-2.354667,-15.28641,3.561676,10.12226,-5.557119,5.868965,-9.516118,-1.641788,11.45815,-6.978706,3.375769,2.022892,-9.449589,-4.721262,-21.08409,-13.05261,9.252255,-0.9003344,9.202987,15.72188,-7.151578,-8.592742,-5.231052699986851
-4.944929,-9.546687,10.02121,3.731821,8.747361,5.330931,-11.37367,-3.34077,-16.08857,-20.08256,3.13339,-10.46729,-3.999254,3.618859,-8.907588,-1.52366,-7.419585,6.547868,5.792703,-3.855428,5.21893,-1.564586,-11.95971,-8.81575,-18.33766,-21.69861,18.47914,3.774379,-0.3209242,0.3153413,-14.04315,-12.3967,-3.74805269998685
-0.3669905,-3.840684,5.648557,0.07447165,6.608151,3.374261,-7.891911,-0.7796997,-14.77298,-23.84362,11.90792,-2.483127,-9.462799,0.06480462,-8.945377,-10.82113,-2.497679,7.470145,-1.186748,4.813407,3.432493,-5.026139,-10.32078,-9.098689,-12.38367,-21.81751,13.49955,3.992521,-4.35173,-5.974244,-18.81294,-8.444634,-2.2650526999868497
2.719022,-0.04215532,-2.146393,-4.036906,-0.3671741,4.100107,-2.271052,0.02512096,-8.303715,-22.46975,14.98771,5.129943,-10.44672,-3.426763,-7.01285,-17.64077,1.485118,2.413006,-7.288893,8.572014,-3.382913,-4.042234,-5.465519,-6.351966,-6.962585,-19.18945,6.819581,2.725471,0.1705428,-7.230733,-19.30654,-1.874885,-0.7820526999868509
2.43699,1.61993,-8.917856,-9.988555,-7.282243,4.543686,3.111626,2.345344,0.1866007,-15.66987,10.35506,10.13133,-4.529739,-6.239967,-0.9789239,-15.79866,3.148554,-2.639683,-8.622659,6.343216,-9.318753,1.943118,-1.906874,-2.464764,-3.656128,-11.40598,4.735464,-0.3042511,8.235665,-10.77827,-11.19288,0.9734243,0.7009473000131496
2.919525,1.779542,-9.026415,-17.347,-9.968124,2.912906,8.623195,3.735812,8.335069,-1.507124,1.500338,9.465294,4.215428,-7.951748,7.62365,-6.421825,6.761228,-2.976364,-7.127272,0.8345556,-11.54923,5.22074,1.398015,1.602506,-0.5393625,-0.6864183,4.649432,-2.944919,14.64608,-15.37867,2.419587,-2.009828,2.18394730001315
7.561412,4.393263,-5.484023,-21.12419,-11.2146,1.73966,13.82292,0.766967,17.17819,16.54973,-2.891201,5.178611,10.64001,-7.932608,15.52063,2.983522,12.62235,-0.8448169,-6.130363,-5.073964,-12.14955,1.7295,4.26539,4.468895,8.58539,4.831836,5.823361,0.795171,16.69006,-16.85148,10.80555,-4.87334,3.6669473000131507
