"sub.id" "LH_accumbens" "LH_amygdala" "LH_caudate" "LH_hippocampus" "LH_pallidum" "LH_putamen" "LH_thalamus" "LH_cerebellum" "LH_diencephalon" "RH_accumbens" "RH_amygdala" "RH_caudate" "RH_hippocampus" "RH_pallidum" "RH_putamen" "RH_thalamus" "RH_cerebellum" "RH_diencephalon" "LRH_brainstem"
"1" "sub-01" 0.165237139560615 0.137807297346975 0.176090468844752 0.0587342052949938 0.102408938266896 0.122151728247649 -0.0367644424465612 -0.0166448565346837 -0.106743408818444 0.0445800304163024 0.197801717677364 0.0446387504379843 0.0965990505405679 0.00846449603449484 -0.0460874441238937 -0.0430129177683045 -0.0209258419183957 -0.0229995415949438 0.0427311805550234
"2" "sub-02" 0.078157845081571 0.104205022329635 0.024878981726305 -0.0422918887725183 0.0112997935603042 0.0964078337762472 0.127074189266857 0.233348297934735 0.235648478818579 0.0182379022869294 0.1390585815766 0.101559702013495 -0.00495848773575714 0.0405337647289524 0.108728892781427 0.217971051407964 0.276892769391374 0.163585417115319 0.0897717390636707
"3" "sub-03" 0.101611484178188 0.0259505422445739 -0.0675613812520809 -0.0208306609520264 -0.131655664073058 0.0922906269808186 0.0578653344027642 -0.0275666163795037 -0.122774603262177 -0.0171557855271603 0.0288403531723556 0.045148909834883 0.00771367759619144 -0.0073248866610458 0.0122098289324771 0.0293665684175596 0.0377827706202176 -0.0606749311913747 0.0044061221766791
"4" "sub-04" -0.0165818457729509 -0.0663090532943374 -0.0935358960642804 -0.0885019337371499 0.00748946667976724 -0.0274573220862914 -0.0550304561217872 0.0743804366660927 -0.0128749212992165 0.0476958554134948 -0.0440561311608796 -0.0124308969789371 -0.0578534687014662 -0.095717466438626 -0.0482080467417076 0.118406328808287 0.196441931676171 -0.0451230461828886 0.00317624701927465
"5" "sub-05" 0.292453556470343 0.175161890842842 0.0485967391411006 0.108354984741161 0.0658885540817648 0.238887146107873 0.160431005765139 0.188067105167025 -0.0205951391354613 0.156963821281615 -0.00433537333024322 0.122793401807805 0.0512848368869281 -0.124560340591282 -0.0957462382905563 -0.120137812834561 -0.160204183166542 0.0124236003563344 0.108731905018693
"6" "sub-06" -0.0913876788667696 0.124116771492736 0.136595862972928 0.0270419151444946 -0.12155531513994 0.130417402821198 -0.123428162811631 -0.0288335983851756 0.00142455777831372 -0.0218623289685529 0.000489611474693682 0.185319625966773 0.135076663131028 0.0737713636863071 0.0120896505624934 -0.0261259034806929 0.0383554158511987 0.0348308284948663 0.0387792714018983
"7" "sub-07" 0.133998902933311 0.116628011789562 0.0875332185916755 0.0797839850466136 -0.0309059230078285 0.130925462871665 0.0813318552573116 -0.000717187909610908 0.00745209844848311 0.193931434589208 0.111236330034156 0.113707181408152 0.0664938448586122 0.139852079925922 0.0645927147931362 0.0766412603844086 0.0863514243042502 0.0936794907233277 0.136027776798689
"8" "sub-08" 0.146306529653244 0.181039852015598 0.0461186162751575 0.2187644268791 0.102506970809762 0.22795567906042 0.0834173687404199 0.0793776634605393 0.113003146405343 0.184181274165036 0.0913841152136921 0.190524440256822 0.0458349746116551 0.178768722818677 0.0680440486027698 0.0455271623918978 0.0599871394706976 0.113630212462236 0.222214626243152
"9" "sub-09" -0.0333929624400986 0.0414531258814517 -0.0534700800895036 0.0386053493634298 -0.0274176496770394 0.0128890071969183 0.00441469767747969 0.0645651061694445 0.163998047874314 0.0307024869243245 0.105139800889634 0.0679325985822105 0.0718738557155231 0.0389410652596695 0.0251494438195923 0.106843824166572 0.113850611930053 0.294485623529271 0.12508234623185
"10" "sub-11" 0.184782187511033 0.0976646176795 0.0851970330183396 -0.10673575445529 0.127577876094936 0.146581499076918 -0.0499384122423779 -0.146239465327812 0.000270507483300613 0.0911549784510903 0.0507889826332547 0.0654017313967868 -0.230614134450236 -0.0629675846224629 0.0582376303947156 -0.107445226328033 -0.0901407104907398 -0.0198406906527263 0.0941653399834793
"11" "sub-12" 0.0286990287550347 0.0787800796203131 -0.0112340869562174 -0.157214680029518 -0.103760852231271 -0.0607973202310099 -0.0669583483500609 -0.0703566400265422 0.0141670154750827 -0.0407536825818197 -0.0598877845581157 -0.0377054371814134 -0.0957221575403512 -0.157749823768267 -0.021061330208634 -0.162335082407092 -0.0384886774583022 -0.070170029729027 -0.0711724972609413
"12" "sub-13" 0.134376663580608 0.0642063188022279 -0.0384432242097857 0.0392011395481261 -0.0231422661658994 0.0523851515276236 0.000794313629846337 0.207405926354833 0.0560685745796643 0.0189589167034343 -0.0688260612105787 0.075330938365503 -0.0913688992617072 0.0305310469221437 -0.0220359818992304 -0.0655451714551168 0.178073109837536 -0.0403877565881207 0.0490601369673336
"13" "sub-14" 0.0218409950731923 -0.0401771298385763 -0.0186151603250571 0.0327292258486519 0.00268811004868088 0.0057272837130059 0.0284102680293702 0.0558691917444992 -0.124477002962098 -0.0568700229692805 -0.0179157093341877 -0.0602203838238716 -0.103579849512808 -0.102747585533923 -0.0973333239116628 -0.0796498601582776 -0.00256158753943538 -0.199810043602111 -0.0537705517836935
"14" "sub-15" 0.146234759607213 0.234751629352638 0.089436433620665 0.0588891836861963 0.0807194797293934 0.170450755251054 0.246164510161326 0.158834241349831 0.0638604073818819 0.148188446753299 0.133669572385806 0.227146173911337 0.0847463500355604 0.162447724948596 0.0553516692507848 0.249424682368736 0.0814795551817046 0.175655171832334 0.149351898548423
