"sub.id" "aHIP_rh" "pHIP_rh" "lAMY_rh" "mAMY_rh" "THA_DP_rh" "THA_VP_rh" "THA_VA_rh" "THA_DA_rh" "NAc_shell_rh" "NAc_core_rh" "pGP_rh" "aGP_rh" "aPUT_rh" "pPUT_rh" "aCAU_rh" "pCAU_rh" "aHIP_lh" "pHIP_lh" "lAMY_lh" "mAMY_lh" "THA_DP_lh" "THA_VP_lh" "THA_VA_lh" "THA_DA_lh" "NAc_shell_lh" "NAc_core_lh" "pGP_lh" "aGP_lh" "aPUT_lh" "pPUT_lh" "aCAU_lh" "pCAU_lh"
"1" "sub-01" -0.149326863959437 0.0250465975845846 -0.149608450266295 -0.0748629995965486 0.174353640832467 0.00365098733067542 0.0940627418974322 0.100665501943841 0.0718575517836048 0.0450308351908851 -0.00913957388385283 0.0368627664677129 0.0121303839158914 -0.0485719925314418 -0.067425856327034 0.00704084236918058 -0.0315636180879382 0.0921055746130772 -0.123205621870538 -0.021712114345472 0.107226921039981 0.105516473564728 0.0954261036708737 0.0667162763974169 0.0309370299817237 -0.0894714158840963 0.00687569603277737 -0.128336710150062 0.143306101743016 0.0562835045804341 -0.00744789298294124 0.0120278177702456
"2" "sub-02" 0.0289540806826731 0.00319876838319765 0.0499627646124 0.0966014405781977 0.131461532738274 -0.0675921723308286 -0.00635638685608184 -0.0041962260195657 0.176967350711718 0.151853141742321 0.0580438476423048 0.0744118696579809 -0.101845935921528 -0.101998346994023 0.00559829489355759 -0.0835413397538868 0.00640429358480568 -0.0939895602243646 -0.0509979967419306 0.0469560325800334 0.081132008580225 -0.139562415691537 -0.110032962231658 -0.0924755646726581 0.0661570018939187 0.0828515537180693 -0.0169783248573904 -0.037424717150966 -0.171823903838763 -0.17093150699909 -0.0575486281855216 -0.121077938725996
"3" "sub-03" -0.0526242344793634 0.0799032333855311 -0.0262981424215213 -0.0672053535063103 0.0566651292504089 0.203084841768855 0.053665050655676 0.0296993176354032 0.0267003305403855 0.0465011876513431 -0.149911528490735 0.0618764295759324 0.110841234685643 0.0945815732915437 0.162334527491236 0.100713067023781 -0.092890940500057 -0.103870314577578 -0.0152179906850676 -0.083754736224496 0.0600061497732997 -0.00565638303338057 -0.0177616100749085 -0.0785894634021343 -0.0217452646241593 0.0320805802877216 -0.0491889554633845 -0.0256312455929896 0.0797627667064092 -0.0768953659923874 0.00243370316957075 0.120134911783671
"4" "sub-04" -0.0452657795464459 0.0844569525192093 -0.0103865036026905 0.192491886759362 0.11630559354007 0.0717245760398189 -0.26976536011047 -0.0939531470325683 -0.187570634163003 -0.259685239361403 -0.0640169936965739 -0.064862498979816 -0.0872723188808746 0.0151107395707981 -0.233744407904801 -0.249194440210126 0.0477200100230089 0.0707464677649798 0.0515693735909236 0.115351420950369 0.203031667383103 0.0834249172720005 -0.210232586522284 -0.217311495715507 -0.17710121753899 -0.191745615814193 -0.251533957410065 -0.180529392151459 -0.174460094030553 -0.0531235172373311 -0.185733300998197 -0.20785250312556
"5" "sub-05" 0.0500408624197951 0.0865811292328104 0.0292001656230033 0.221972747554933 0.0393774854128962 -0.174064225149268 -0.0281599154053512 -0.105176016686571 0.148063298667172 0.0333272737245821 0.145795846387677 -0.091515573915104 0.0184260093068305 -0.100384001835631 -0.0715419930693882 -0.093079639887068 0.0607112473295629 0.131405350849498 -0.13926867198148 -0.0946349397465076 0.115254129540013 -0.143263556098485 -0.0359115192188307 -0.0543627574792951 0.0797780702538443 -0.0226656625066525 0.0257388155902336 0.0323860401330851 -0.0319898352348133 -0.112966611816961 -0.0697034776654321 -0.056192383763847
"6" "sub-06" -0.204510586698094 -0.118582773513521 -0.0740524625347873 -0.18018710820181 0.0887509151217197 0.0875362469533173 -0.155694520401364 -0.0898812419692763 -0.043000178867767 -0.0814282676389063 -0.119587912094515 0.00616461258305512 -0.0923570903530498 -0.0811863310543905 -0.211183635894601 -0.176719925556845 -0.222509153875941 -0.081487894297218 -0.173228911085186 -0.168782340657012 -0.0663882154916748 -0.00719087404853508 -0.0946838336868486 -0.0336870649113459 -0.0857843840256935 -0.0988587298320291 0.0364403850813996 -0.0303500712613122 -0.209315243916156 -0.0409324970482837 -0.210252012470265 -0.121298285871121
"7" "sub-07" 0.0180223326068091 -0.0643439634288479 0.0305908289062565 0.0851674362481116 0.0421874427151295 0.0768112374394497 0.12172606250757 0.126596963194538 0.0995443125202607 0.0193764028971572 0.0628780634052532 0.0549441043379183 -0.130193591522973 -0.0853638882732581 -0.000596980986567411 0.0336574495254316 0.0184231491106588 0.0706574587271764 0.0566354638571987 0.0634256203939347 0.0154973486617801 -0.131794203300577 0.0867904300739482 -0.000666891314638624 0.0018863942829177 0.0329647990662479 0.116030934319262 -0.0403410869057402 -0.0995160039944305 -0.203313038483783 -0.00243247131250698 -0.076401160532313
"8" "sub-08" 0.0603530834725021 0.0507044303381357 0.0138547287608032 0.0965564280255004 0.00883447344831921 -0.1023886518441 -0.0776260785188772 -0.125263116304362 0.0296104709947799 -0.135598666504298 -0.0627208886532511 0.0731110221726423 -0.0145638613285685 0.000693430500544996 -0.0479898214840034 -0.0020154767800626 -0.0319943878314614 -0.0127335215766926 0.057335191168143 0.00489219626140245 0.0316173260946234 -0.13622665966816 -0.0552438276810846 -0.147558516834942 0.0593844039197796 -0.10261938710443 0.325053720018712 0.0448575839383127 0.0297710467090115 -0.0171148494699848 -0.012460677450098 0.157941807327643
"9" "sub-09" -0.0332337521984933 0.0169294098520717 0.00620700495619349 -0.052784525695255 0.230915072251765 0.0350586438550672 0.10119332577548 0.0693538118061591 -0.0959056870990021 -0.124807104160618 0.0304381796926023 0.04402007934514 0.0883209637385088 0.0604456148927406 -0.117391304463338 -0.0943022355876044 -0.0127175694050587 -0.156946391105692 -0.151293571742762 0.0566486765377759 0.136229878414441 -0.066338118369838 0.0285275724050952 -0.081469495731649 -0.117071304488297 -0.0681476721881105 -0.0925946859115774 0.0216273408876885 0.0636013653862743 -0.10538794625813 -0.147166405416953 -0.129239738147839
"10" "sub-11" -0.0296518563128468 -0.0667570151720266 0.0349569654726583 -0.037819933962827 -0.105038154776847 -0.125762079143844 -0.0444587811780786 -0.0184208947660191 0.0367152952519982 -0.218645743486483 0.0251671308752141 0.0157114934426012 -0.17820071112859 -0.0823521263161724 -0.0784991492485597 -0.1720987940225 0.0558056834074855 0.0239005925425866 0.119302176286264 0.189150140428239 -0.0874380369652352 -0.133737156354644 -0.20719217670767 -0.0231181686014858 0.0282858176776184 -0.115028277395842 0.00854663998336041 -0.00601778500527056 -0.155332377936534 -0.101279659815611 -0.14141605128201 -0.0343518493953302
