fine,time_second
0.0,0.0
-0.0012880040084884,1.483
-0.0168031747664988,2.966
-0.0525916776227045,4.449
-0.0881834988601713,5.932
-0.096915139293118,7.415000000000001
-0.0507377088654824,8.898
0.0774420531810253,10.381
0.289321658162113,11.864
0.526515862387954,13.347000000000001
0.686589927055078,14.830000000000002
0.700588818610387,16.313000000000002
0.574984186217317,17.796
0.375326483533355,19.279
0.173009716247585,20.762
0.024152854213493,22.245
-0.0481401338872656,23.728
-0.0623946579578156,25.211000000000002
-0.0583863283000215,26.694000000000003
-0.0647120248885694,28.177000000000003
-0.0875594806400467,29.660000000000004
-0.11709044497691,31.143
-0.13863296109941,32.626000000000005
-0.143628658270043,34.109
-0.135476001986517,35.592
-0.1282839783356,37.075
-0.13610155063234,38.558
-0.159983362587406,40.041000000000004
-0.189806995804398,41.524
-0.215226834839012,43.007000000000005
-0.231842450304698,44.49
-0.240419640690067,45.973000000000006
-0.243000826928386,47.456
-0.241136027281706,48.939
-0.234207669793345,50.422000000000004
-0.220432948851309,51.905
-0.201377221418072,53.388000000000005
-0.184972993540095,54.871
-0.179547305408508,56.354000000000006
-0.186209716209475,57.837
-0.198903793779489,59.32000000000001
-0.210989874206359,60.803000000000004
-0.217808271154824,62.286
-0.215840249043333,63.769000000000005
-0.204484268204277,65.25200000000001
-0.189586476332725,66.735
-0.181044731604888,68.218
-0.183526568978389,69.70100000000001
-0.192544404717058,71.184
-0.198747664642026,72.667
-0.19521762376927,74.15
-0.181618270956632,75.63300000000001
-0.154266984504588,77.116
-0.0905572371496672,78.599
0.0411780357952657,80.08200000000001
0.231727763621365,81.56500000000001
0.40933664967442,83.048
0.491058785655827,84.531
0.45565379244249,86.01400000000001
0.352004061205431,87.497
0.256741517654784,88.98
0.21950613127558,90.46300000000001
0.246847988386934,91.94600000000001
0.311477410336462,93.429
0.361305417714032,94.912
0.350565183752454,96.39500000000001
0.270648879935575,97.878
0.149610819392306,99.361
0.0248845060058831,100.84400000000001
-0.0764067678576904,102.32700000000001
-0.140832787548007,103.81
-0.169992300441269,105.293
-0.177041427824084,106.77600000000001
-0.178544536068248,108.259
-0.180874851625869,109.742
-0.182459178792706,111.22500000000001
-0.183758809450074,112.70800000000001
-0.186617196324047,114.191
-0.188383355756974,115.674
-0.185954779502012,117.15700000000001
-0.183072352428594,118.64000000000001
-0.186118874662512,120.123
-0.194933329235513,121.60600000000001
-0.2021809356858,123.08900000000001
-0.200719302679904,124.572
-0.191684002672861,126.055
-0.184222465331108,127.53800000000001
-0.185843478733173,129.02100000000002
-0.195945801285086,130.50400000000002
-0.208497913959924,131.987
-0.217863457446157,133.47
-0.220047976393524,134.953
-0.21240503440723,136.436
-0.19701803719923,137.919
-0.181069724001772,139.40200000000002
-0.169928716639118,140.88500000000002
-0.162991568720243,142.368
-0.160022360793334,143.851
