pe,time_second
0.0,7.88
-0.0163094500566056,9.363
-0.133227547531698,10.846
-0.233298750155526,12.329
-0.199876829563523,13.812000000000001
-0.134579783961087,15.295000000000002
-0.0734404836630607,16.778
0.0054877068442856,18.261
0.0095961570363728,19.744
-0.128501602374858,21.227
-0.265744844281553,22.71
-0.353671875794965,24.193
-0.441320746323708,25.676
-0.533500872919109,27.159
-0.579197803404224,28.642
-0.582091820996308,30.125
-0.546254118314041,31.608
-0.433751899946248,33.091
-0.309365128365422,34.574000000000005
-0.297570812974324,36.057
-0.418238901413392,37.540000000000006
-0.495443516782917,39.023
-0.506916492861255,40.50600000000001
-0.544029047756557,41.989000000000004
-0.592904489683458,43.472
-0.621581333068113,44.955000000000005
-0.649800496275417,46.438
-0.652647441765952,47.92100000000001
-0.596373917761388,49.404
-0.556109744596832,50.88700000000001
-0.51361494486675,52.370000000000005
-0.431517378766088,53.85300000000001
-0.362836439545425,55.336000000000006
-0.308595937043187,56.819
-0.319614696497145,58.30200000000001
-0.325947452582532,59.785000000000004
-0.210229442722392,61.26800000000001
-0.077398881362595,62.751000000000005
0.0005796487646127,64.23400000000001
0.0083516717173134,65.717
-0.0833643817858064,67.2
-0.208998298212192,68.683
-0.261410649653678,70.166
-0.215941729792533,71.649
-0.117240805290943,73.132
-0.0949454351831807,74.615
-0.17829885851241,76.098
-0.299864928161254,77.581
-0.433021827628347,79.064
-0.544326491003732,80.547
-0.628551456206916,82.03
-0.70345372559029,83.513
-0.761507620157092,84.996
-0.782980435650964,86.479
-0.691210947671674,87.962
-0.514811103288764,89.44500000000001
-0.387475802784903,90.928
-0.216371575394594,92.411
0.113928573003229,93.894
0.380163740997433,95.377
0.403521877437882,96.86
0.304194966989714,98.343
0.156660702034753,99.82600000000001
-0.0322580652293463,101.309
-0.179983806895656,102.792
-0.250611906686813,104.275
-0.276509237650295,105.758
-0.302025055932892,107.241
-0.350915211261956,108.724
-0.382274765615552,110.20700000000001
-0.34334239346714,111.69
-0.204569279910991,113.173
-0.023445262005834,114.656
0.128512119275973,116.139
