"sub.id" "aHIP_rh" "pHIP_rh" "lAMY_rh" "mAMY_rh" "THA_DP_rh" "THA_VP_rh" "THA_VA_rh" "THA_DA_rh" "NAc_shell_rh" "NAc_core_rh" "pGP_rh" "aGP_rh" "aPUT_rh" "pPUT_rh" "aCAU_rh" "pCAU_rh" "aHIP_lh" "pHIP_lh" "lAMY_lh" "mAMY_lh" "THA_DP_lh" "THA_VP_lh" "THA_VA_lh" "THA_DA_lh" "NAc_shell_lh" "NAc_core_lh" "pGP_lh" "aGP_lh" "aPUT_lh" "pPUT_lh" "aCAU_lh" "pCAU_lh"
"1" "sub-01" 0.0506305151587041 -0.058193121439593 -0.0105750266800824 0.0570560459154357 -0.0583825122666985 0.0462262365339925 0.0663554766632117 0.0262434422433871 0.02027681349531 0.0184171824830009 0.0951976643963004 0.0585161209278404 0.0151442174609034 -9.17229768270596e-05 0.00891245553661317 0.00414234969374889 -0.00466307333865883 -0.0478749533882435 -0.0968952607774596 -0.00514564615576682 -0.00912326765817315 0.0721746470607231 0.0528034141965245 0.0624636904066168 0.0435731555548201 0.00257684174091693 -0.0396701971753872 0.0102181746630573 -0.022792905065148 0.0238414769975018 0.00362575398322397 0.0276815853695852
"2" "sub-02" -0.00573227478806849 -0.103006726963488 -0.0146694250818238 -0.0134793512888045 -0.0994121057840602 -0.0504372020099437 -0.0102483530397323 -0.0672293694000494 -0.0107736208922261 -0.035829514051789 0.00065673783405298 0.0603858278971806 -0.0246420723225384 -0.0519781891202164 -0.0788031821074132 -0.0726067076826341 -0.10968210795614 -0.147751632116912 -0.116124000715504 -0.0736203581385548 -0.0924889301272847 -0.075480903448629 -0.0550682800291945 -0.0632666744508685 -0.0915960928028173 -0.0783805659885355 -0.0103629123918884 0.0304540721136384 -0.0570301673226166 -0.0847599590686237 -0.0918950590058789 -0.117721065836353
"3" "sub-03" -0.011187550941828 -0.0291116631311279 -0.084128395773527 0.00619002345837477 0.10590311012969 -0.0308699082098133 -0.0544878549852717 0.0597029062582212 -0.0125754974855404 0.014288825498347 -0.014787178800282 -0.0367570751448188 0.100395570941891 -0.0210693596631275 0.0609555893977398 0.0215123469652645 0.0174221018397012 0.114161923417375 -0.0302263787212806 0.054083002065372 0.111429931018414 -0.00395637065021014 -0.00652537879035934 0.0663268378160023 0.030850008121392 0.0595693512436993 -0.110877927219601 0.00175352262798894 0.0127339828069692 -0.0511782033183771 -0.00301225416418088 -0.0112415982961905
"4" "sub-04" -0.0399387993516261 -0.0439535903334005 -0.045876324859881 -0.0941700217893816 0.0266390356271921 -0.0711417125635095 0.0951057525201 0.0365920133650875 -0.0122620672158401 0.0384330031315503 -0.00163216475856755 0.0750112533563353 0.0719836987755909 0.0601860762914643 0.0727831329076788 0.14100581135927 0.0234315721796624 -0.0544620429170704 -0.0359709423665251 -0.0345700587051295 0.00845759614395982 0.00515771971969327 0.13239198148081 0.0864828731998615 0.0539194468589055 0.0155040108719586 0.0870313584640375 0.0262668815785401 0.0797507313155117 0.0750778211694265 0.0910366729935006 0.0906079050876705
"5" "sub-05" -0.0354546330599909 -0.0699950019535745 -0.0565002985597877 -0.0234155145559132 -0.099070313529525 -0.0976819330163764 -0.108090042327143 -0.0527330629097534 -0.108421763147159 -0.0403972152649009 -0.0172617513392002 -0.0249030736976526 0.103598603992339 0.0938325926885119 0.0235249673437981 -0.00840935083179264 -0.0178378352533111 -0.0563345478676824 0.0166537539876921 -0.11407954743741 -0.0987787880405597 -0.0250102439383885 -0.0123308969256599 -0.0021969345361805 -0.0763018723986359 -0.132833885593832 0.160170285291636 0.00611227567079502 0.161822880054783 0.135565870346077 0.0355454082104915 0.118413639007204
"6" "sub-06" -0.0596816170199429 -0.00839593504918623 0.0681078617881276 -0.0522650873237179 -0.101271567238476 -0.0643632249951361 0.0771282323874394 -3.19419577478272e-05 -0.0180126705383758 -0.0141182101609062 -0.1158329351574 0.0858542166174777 0.0935650519481172 -0.0465236506535432 -0.0196945301241443 0.0344678365745545 -0.0495177573746558 -0.040899644506905 0.0772469249619254 -0.0535693463076226 -0.0733593056523371 -0.0702432993781167 0.0515868683252908 0.034420391001873 0.0105950574750745 0.0371193129770367 0.00242875029243451 -0.0118262472652735 0.0647949727774642 -0.0236593454912449 0.0232113982530588 0.00325719815978112
"7" "sub-07" 0.150194867279565 0.160700668673311 0.12764362166905 0.0249179674962845 0.268172570482798 0.0519517283915176 0.163917473186153 0.211139203651583 0.00290765442652764 0.101074940259164 -0.053247100936243 0.169786729117973 0.141682223645089 0.196366749184096 0.14572438133144 0.171435894919952 0.10422429032224 0.150264791114846 0.13906184606313 -0.00178557675049459 0.221511498432689 0.0626883347952581 0.154720617230892 0.124735641649002 0.0661584191795878 0.0392962178444208 0.0626780098876595 0.154199421494005 0.144412319918102 0.132619034551554 0.160180342213001 0.168688996213018
"8" "sub-08" 0.0340667654259796 -0.0165066800958755 0.00973276834997972 0.0735147004573548 0.0251493727907119 0.0539246683448332 0.107999411432629 0.0855187132303686 -0.0195845116085697 0.0821057804226805 0.0442518543121161 0.0351220756664243 0.0224240993111143 0.0617919394998466 0.138783496402249 0.0794254402946349 0.118563722638075 0.0793271442807372 0.15020689579924 0.0972832676875039 0.216872219488178 0.0609304261397469 0.129162339742513 0.10323612488184 0.103372283567899 0.241521753009133 0.00323488382645308 0.058247938896558 0.0664425517640451 0.126080630323306 0.144717403601436 0.100644821231276
"9" "sub-09" -0.0900097817692446 -0.135587727375878 -0.082041543923128 -0.0275386281232229 -0.0844128586858875 -0.0872556623921217 -0.133383760705956 -0.0883169217634938 -0.0144819325188366 -0.038604522382555 -0.00780704200772556 -0.0039539911179584 -0.0774927649442927 -0.0802898057957542 0.0096692761889702 0.0512700671394469 -0.0872284955539532 -0.172788169876284 -0.093915852189963 -0.0521506398771726 -0.0679862130174096 -0.0765275668197861 -0.0526764516662402 -0.110817477168262 -0.0820534203606108 -0.0241694258663344 -0.10213527383716 -0.0459878889122611 -0.119979519069076 -0.0657017974024385 -0.0358754551243041 -0.0422321284562978
"10" "sub-11" 0.0716701418823407 0.0120314919108295 0.0445652676297496 0.0686391185829612 0.0608167983624726 0.0756871758618196 0.0974518766289758 0.0992810159338727 0.0496840626689196 0.038671201338142 0.0425371881102392 -0.0218095265880223 0.0840974760829718 0.090613047631726 0.103769201185974 0.0961235221711396 -0.0108983751598164 0.026629037820143 0.0647132249676341 0.0236197676501614 0.0748596362721841 0.0916713047506073 0.112422680380584 0.161619568162191 0.030621697803396 0.0597172378818289 -0.00924957418361239 0.104637800452325 0.105818621473693 0.124144450027816 0.064004311750929 0.0806429077366539
"11" "sub-12" 0.0367675785603805 -0.109997062477436 0.109846057254376 0.118693575589111 0.0112050887201287 0.0417389985668665 -0.00259832120154034 0.00288668989434026 0.00267561000373318 -0.00821806232676932 0.0959608418022581 -0.0746682740308875 -0.0526129099671823 -0.0897847427284328 -0.0573326297933902 -0.0897164948956503 0.0810837374167891 0.00550727280586586 0.0835810536761636 0.061417860057616 0.0200817235349779 0.0725709914623786 -0.00141022690677891 0.030097338156089 -0.0404678061890446 -0.0971376302388653 -0.0428452536737094 -0.0775720502874521 -0.0993761501407593 -0.103145178611623 -0.0850164134538663 -0.063755669993015
"12" "sub-13" 0.0597579226032141 0.0962398207850715 -0.0721496431405052 -0.0415104272704652 -0.0840521910805951 -0.0127576978341169 -0.0226515040201043 -0.136124476739518 -0.0553999289068261 -0.0620559958775957 0.0209965332326935 0.0503620008285192 -0.0965439256454587 -0.0907780492055713 -0.0324847003870885 0.01290523225054 0.0524323607744464 -0.0361494306171479 0.010838264557594 -0.0139886231888696 0.0398927787042173 -0.101695437570112 0.0303492610210982 0.0945571614484727 0.0105256253740747 -0.0427856943462795 -0.0245514773652267 -0.0767465565707542 -0.0943116641830582 0.0161087405498651 0.0102167661608724 0.00389522800970299
"13" "sub-14" -0.115353248970429 -0.117618514301444 -0.0194084174324422 -0.0367664891162939 -0.14865294303783 -0.114827515904915 -0.121021783239637 -0.0920202243196361 0.0288700175459835 -0.0884444088895702 0.0584043577118385 -0.0882354692541549 -0.118771248481817 -0.0727133609526746 -0.0954450080872767 -0.113273627477183 -0.0975671106827131 -0.0522719963572552 -0.0549154642474425 -0.0818704360624326 -0.132865251628967 -0.0252360961393479 -0.128296912999769 -0.102707878132689 0.0383229085488351 -0.0630078376291225 -0.0191526974145248 0.0055318210641193 -0.0849197973610278 -0.0455827643911168 -0.0479889109076012 -0.0822744530486323
"14" "sub-15" -0.0384233409667867 -0.0477725145012489 -0.0418744392683571 -0.0877600858237818 0.0382793228733697 0.118620136575786 0.0365900187715721 0.0206424001109828 0.0520800127653937 0.0394691082158142 -0.0195501931988502 0.0938099491414147 0.0127750765950583 0.0531753731370338 0.0109538846493475 0.0515156307291229 0.0667970771035236 -0.0691691298844488 0.00971890289290127 0.0370745967711692 0.0886824074284661 0.0461185215407942 0.10693446329474 0.088904760229568 0.0504113470857991 -0.0431483006551367 0.0236183338428772 -0.03410097626759 0.0197742584539003 -0.0225595445640755 0.0752713988513217 0.0754106012154648
"15" "sub-16" 0.124722671381984 0.0582128769137717 0.192492675592279 0.20029805172846 0.0520286300501687 -0.0146251573796921 -0.0285313050095365 0.0757342085334114 0.102897317441077 0.0965566505082903 -0.0446802684646556 0.045070701255311 0.12423653607582 0.0590354953568311 0.0985789495716081 0.0840040752991065 0.0832288113644271 -0.0221183957822937 0.153917928098934 0.175183251743575 0.0155405410388138 -0.00596392394948874 -0.0769101638759796 -0.0996701546428552 0.107825125468133 0.0264605436918342 -0.0552575143688925 -0.0516995727969688 0.0931774356999581 0.0541057598434359 0.0149923255818862 0.0359351968577501
"16" "sub-17" 0.0487780833284049 0.0629175779951851 0.0960773807964879 0.0822260304741011 -0.0288668377137181 0.0130168585326109 0.0134823897737285 -0.0455727247999644 0.0266126880157797 -0.0604284214855873 -0.0292560715910411 0.0360830479522606 0.0192076415966947 -0.0267912640861266 -0.0405021290782771 -0.0189202536870061 0.146534244257737 -0.0220711853141325 0.0849355088981447 0.0182603173084295 -0.058546876612525 0.0310166773242065 -0.0695210533403827 -0.15650550748713 -0.0622023931333955 -0.063896914418447 -0.0375138738954981 -0.0215803688260147 -0.0218913716837137 0.0393924536011886 -0.116700851475108 -0.0738980342825603
"17" "sub-18" -0.060469238531236 0.00593178823216382 0.0593030145196245 0.0857196128283244 0.0708221873363034 -0.00493280896479284 0.0339432052735312 0.059466215827419 -0.0747847760628026 -0.104660020957638 0.0260792283614638 0.0661061482154688 0.00994453039999699 0.0193259984516105 -0.158477807217411 -0.00311157065577451 -0.0731710009504889 0.0395865670085044 0.0843792855108057 0.0798455413089332 0.0413668545838608 0.0284522832349522 -0.0013584235818337 0.065173679353007 -0.0827753714847967 -0.0787276933007448 0.0318919149501623 -0.188355215962875 0.0153643769169688 -0.00450820092538843 -0.0580758310611557 -0.0813133126127408
"18" "sub-19" 0.0686433631268004 0.0570273526173255 -0.0267465449374598 0.0137621088908146 -0.0438533211693713 -0.0345233171257064 -0.0398979315479041 0.00167031265273001 0.0534594016945667 0.0485184224001629 0.000288140506616963 -0.111608784836251 -0.0713900170743019 -0.136115212692679 -0.0766017171279896 -0.125690982601201 0.0450519814730768 0.108069746958075 -0.036688866680856 -0.0273488860874549 0.0746213677798639 -0.0133699232368179 -0.00518163873801301 0.00531558631270507 0.0951998733875886 0.0791398857568737 0.166098546129262 0.0286271700824476 -0.0932612669191997 -0.11820394367181 -0.0523111908932385 -0.0685616238678679
