"sub.id" "aHIP_rh" "pHIP_rh" "lAMY_rh" "mAMY_rh" "THA_DP_rh" "THA_VP_rh" "THA_VA_rh" "THA_DA_rh" "NAc_shell_rh" "NAc_core_rh" "pGP_rh" "aGP_rh" "aPUT_rh" "pPUT_rh" "aCAU_rh" "pCAU_rh" "aHIP_lh" "pHIP_lh" "lAMY_lh" "mAMY_lh" "THA_DP_lh" "THA_VP_lh" "THA_VA_lh" "THA_DA_lh" "NAc_shell_lh" "NAc_core_lh" "pGP_lh" "aGP_lh" "aPUT_lh" "pPUT_lh" "aCAU_lh" "pCAU_lh"
"1" "sub-01" -0.111139621719163 -0.0493391245646426 -0.101489511658225 -0.16679574903071 -0.106425206176025 -0.00108512406393638 -0.216640390757496 -0.032106459838231 -0.0290624761894579 0.1668228647411 -0.0415542085931045 -0.0836780543241861 -0.0117482143916403 -0.106292477391776 -0.0749446670533757 -0.101916628508948 -0.200742730557481 -0.190799872524408 -0.0335445822885905 -0.219084261396583 -0.0184716496114638 -0.0443198525559677 -0.0533659223905073 -0.102754419596868 -0.124038173940184 0.0539295493965012 0.115145588470194 -0.0175800616188946 -0.00539628006388343 -0.00231240219034775 -0.0775816384929369 -0.112840381622772
"2" "sub-02" 0.0422362329548218 -0.0958855678213883 0.0630975651873686 0.0918509037010425 -0.0113068329650037 -0.0299427601137092 0.0230872031622741 -0.0307088849194398 -0.0155399701951281 -0.0204308995017214 -0.107534623800258 0.120670017396869 -0.017937752626198 -0.172868973416033 -0.107752816071505 -0.165724051727315 0.0834068338773948 -0.0227016205806893 0.0131751276534136 0.150406976874676 -0.0633264550332391 0.0140254578603484 -0.0538569371842859 0.0116517509209639 -0.0138860955131527 -0.0552043547544853 -0.0156053362231981 0.107416478936428 -0.00803194096810026 -0.106274852080718 -0.0492830091661401 -0.116178335496146
"3" "sub-03" -0.165364334313945 0.0490571321356693 0.0588113203187974 -0.0177440313713872 0.0387688103298412 -0.0156272190905387 -0.189064389751292 -0.046054993975489 -0.126922832397745 0.00371594151862269 0.00242129225247255 -0.0524703754216348 -0.142603605805259 -0.0210267023611235 -0.223900909307924 -0.261643898579863 -0.0952956012348167 0.0254108658123357 -0.0316165217864937 -0.057672647668282 0.0740898967849922 -0.0238376465359262 -0.0483542879502804 -0.0574457851715216 -0.128284221349681 0.0486836404387712 -0.120650251475808 -0.0636678592318969 -0.236726385925283 -0.104366032735158 -0.100706649998781 -0.108232160589029
"4" "sub-04" 0.00971022989955852 -0.124012953762102 -0.00490778844557483 0.0469784488044898 0.00848922324277643 -0.0159467463845063 -0.0763037221535962 0.0037840201269389 -0.147338061741225 -0.0294699169386005 -0.00721992264918184 -0.0889923402000806 -0.154982267269876 -0.133038259901147 -0.0316133955420203 -0.0909100959789586 -0.0936727649979661 -0.182403884408811 0.0266952271975842 0.0289934387979328 -0.0156993889613144 -0.0533579070706312 -0.0916448565711086 -0.0231337063036929 -0.0132960222154699 -0.00251373566960988 -0.04618381756799 -0.0866049017011069 -0.0325748485394334 -0.0963377348372624 0.00872908212786509 -0.0127507037405819
"5" "sub-05" -0.164721042093026 -0.150394336855781 -0.0924074544113879 -0.130877988166792 -0.0133106843850515 0.0146513142688866 0.0517768516301435 0.0767198234115928 0.0495617876869609 -0.0410262901312324 0.000842720952067507 -0.127933836473158 -0.0434182147167991 -0.0330018949339946 0.00550616631292323 0.0821503857826713 -0.0477292500924146 -0.112333440374472 -0.16592059076218 -0.0213762878705281 -0.0551445446725478 -0.190069646103288 -0.0281477145581214 0.00834149096767124 0.00674060869934521 -0.0389051474589647 -0.122436817620455 -0.121311710416085 -0.124524574676395 -0.107158431625001 -0.0111268868827684 0.0453703188607258
"6" "sub-06" -0.222040999790726 -0.191139383181468 -0.147949555018658 -0.217877443487597 -0.0951653695097476 0.00308891502995119 0.0817398270538675 -0.0170689358663275 -0.0405965327060817 0.0521515265800484 -0.00209727022888009 -0.0694151896060732 0.0739132019607905 -0.0325355940156921 0.123109431081992 0.0940130532298208 -0.19112295087118 -0.210400869414862 0.0239065569721156 -0.14981792074901 -0.0192440902577043 0.092503055280847 -0.0184997861107032 0.172126622265721 0.0604504238280106 -0.0584485301965383 -0.137736474986451 -0.0369383898158662 0.0275954654258943 -0.0301430676691722 0.230024248121704 0.102925586533719
"7" "sub-07" -0.083207955674362 -0.103969444977187 0.195361544549741 0.0409380606436964 0.00809687089702239 -0.099213816983907 0.0316817772116981 -0.0272084778317552 0.00480661925756671 0.0331601496994375 0.0375860067751366 -0.054301402419377 0.0968662570940658 0.215542559897271 0.0774478820057324 0.168269850250325 -0.0440439612753681 -0.0191300597739015 0.0163564962967917 -0.0779174989827713 -0.0545480127207788 -0.0606487013642336 0.0759055546161555 0.0454293305896517 -0.0452676698045106 -0.0361106087603068 -0.152049050936581 -0.000586898350325924 0.170179849556812 0.190784285437683 -0.0183074007437142 0.204220339632296
"8" "sub-08" 0.00229265086030905 -0.0174826877674091 -0.0459695679937785 -0.0445618277277461 0.0934437451600785 0.00283183931785579 0.00576075624285501 0.0196071589720455 -0.0328183540452698 -0.0383099246911686 -0.114205749975415 0.0969771694493971 0.147164770326743 -0.0124185668408664 0.0412866261605768 0.0537828706455185 -0.0262884979862846 0.00684407674612722 -0.0373962538052941 -0.0509153187618516 0.090525128395921 0.0850784785435097 0.0700095646260138 0.0269897544202011 -0.0477365105186481 -0.0816539133255284 -0.0194185529539975 0.0459704219318425 0.0853909670394353 0.0219277743819514 0.0635036425070475 0.0608090010144717
"9" "sub-09" 0.0373580394144686 -0.0148073282818019 -0.10846568166297 -0.0388861180344281 -0.11288356551875 0.0248751828560247 -0.0777065270965982 -0.0209356995499501 -0.0298608267587484 0.022588806009539 -0.0408258332315918 -0.122118088978442 -0.0406638017455653 -0.16858274345514 0.0784801594946377 0.101782807107383 0.05990700577139 -0.00686402918478003 -0.00727931197150458 -0.0293278837053777 -0.102447348568846 0.0277420009005335 0.0132521573745583 -0.024354858704672 -0.0209086442256463 0.0457167814999888 -0.0551238749830178 -0.0154909823778656 -0.0515629655261961 -0.0768676251941137 0.0678647644883503 -0.0894988368454324
"10" "sub-11" -0.0430268904253612 -0.17529066469013 0.094254908060562 0.0773240938119083 -0.0786316256883796 -0.0663143482654312 0.0293954154647459 0.015725158607137 -0.0940075868642415 0.00732144916415604 0.167241880517665 0.123357745567201 -0.0541789809619991 -0.122777146324205 -0.06176148865076 0.0379938472785856 -0.0250063920262852 -0.0786100985066488 -0.0885368005106227 -0.0241464164894834 -0.105604128867656 -0.00961279893353749 0.0101764591274873 0.0737682893960418 0.0273990925860186 -0.0716647860354472 0.0934800717625761 0.0568678146460186 -0.14749227362472 -0.189279274518001 0.0770146464851037 -0.0469537313593795
